Post,Link,Posting Date,Image,Reactions,Comments,Shares
"#UPDATE as of March 18, 2020:  Now more than ever, we are here to continue keeping you protected from life’s uncertainties. We are one with the Filipino people during this challenging time as we offer an additional extension on your premium due dates.",https://web.facebook.com//AIAPhilamLife/photos/a.2633527306757219/2633527383423878/?type=3&__xts__%5B0%5D=68.ARCSBZtEr71WZAJ4R4AFgj45_mnuRvyUUMi1JuQw5DM9N3Vi12M4GhlcBJPnaQbx1ponxLzxUfSp_H2fNXaj9mWeZrVB7QxMFGOHxtYD1LNxkoOcPdCHspC_zcTj0LvfaheA8-50MgSvIj8BiMYFZpStdF3oxLJxs5c95qwckxuW1p4CeuFtNIvWe-yRcu_dUiTBm1tzlSPdz0Uyf4NW5dGBWptwUxYKLYi9W9fZ98-HmbXma2_vYgGLlcfGjflvqm0j4idGDZFhWHcL_it7nyp4BkJPjDs3nuO-sm8RbSgs-Wv2ZsoVD74TOaf6_WNEN2JVjELfAGvUBCzK2WPOZprM0A&__tn__=-R,2020-03-18 00:31:50,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/89965227_2633527386757211_8139666760606416896_n.png?_nc_cat=101&_nc_sid=e007fa&_nc_eui2=AeGk-EDuY3xFSFAc15dQxN24AGMSYHvL6DoAYxJge8voOhumPlyT5ZyhbjE0SXYRZfzvuIoJLOztV6m1OxdTwb5N&_nc_ohc=tHpWVIp0uKMAX8THnJ8&_nc_ht=scontent.fmnl5-1.fna&oh=09c2dce09ce312a3edef334d1c13ed92&oe=5EB241C6,"{'Total': '664', 'Like': '459', 'Love': '196', 'Wow': '7'}","{'Ilarte Urian': {'text': 'Can anyone take actions on my on going issue regarding may auto debit arrangement? My Account has been charge twice for the month on February. And your Customer Service is nothing but frustrating.', 'post_date': '1585018582'}, 'Prince Valiant Tanglao': {'text': ""I cannot login to my eplan account I tried logging in several times, I entered pin sent to me but won't progress me further to my online account. It appears to be freezing, tried chrome and safari problem persists."", 'post_date': '1585298256'}, 'Jerry Jalandoni': {'text': 'Thank you PHILAM LIFE!', 'post_date': '1584501720'}, 'Lance De Cordova': {'text': 'Thank you AIA-PHILAMLIFE ❤️', 'post_date': '1584496876'}, 'Karen Palma Caylan': {'text': 'Quarterly man ko mag pay ...like February ako last payment...dili nako covered...ask lang ko', 'post_date': '1584501168'}, 'Remy C. Pantoja': {'text': 'Pls paki advice naman, member ako ng philam since 2005, accident inssurance full payment sya, active paba kau o hindi na', 'post_date': '1586089315'}, 'Sarapat Urieta Theresa': {'text': 'How to log in po sa aking accounts....?', 'post_date': '1585764889'}, 'Joan Abapial': {'text': 'Thank you but how about those payments enrolled to auto debit?', 'post_date': '1584508789'}, 'Sam Benigno': {'text': 'THANK YOU PHILAM FOR TAKING CARE OF YOUR CUSTOMERS.', 'post_date': '1585300859'}, 'AIlan Verona': {'text': 'Just a stupid question, does this mean we have to pay 3 months premium come June 2020?', 'post_date': '1584678951'}, 'Mak Tez': {'text': 'Good day,  my due date is every 2nd of the month, so how much will i pay on May 2? Good for 2 months Apr & May?', 'post_date': '1585826287'}, 'Jonats Emz Juan': {'text': 'Thank you!❤', 'post_date': '1585793495'}, 'Jane Tan': {'text': 'Thank you for extended due date..', 'post_date': '1584493196'}, 'Rozelyn Soliman Renoballes': {'text': 'Thanks PHILAM LIFE🙏♥️', 'post_date': '1584893534'}, 'Lorence Awilli': {'text': 'I would like to inform you my monthly payment if updated', 'post_date': '1585370883'}, 'Haidee Daga-as Sionzon': {'text': 'Ask ko lang po,hw about  ung sa aking Policy, Feb. po ung due ko kc quarterly po ako,i made may payment sana last week e kaso dpo tatanggapin ng bank po.thanks po', 'post_date': '1585557339'}, 'Glo Ria': {'text': 'That is good news. Hopefully moved forward dn yung next payment or allow na installment na. Pwede po kaya?', 'post_date': '1584942098'}, 'Caliyo Ubatan Hazel': {'text': 'Thank you po my due date is april 28 po', 'post_date': '1584496913'}, 'Linda Nano': {'text': 'How about case of Company group Monthly Salary Allotment which is due end of March?', 'post_date': '1584923656'}, 'Allan Abayon': {'text': 'thank you PHIL AM.', 'post_date': '1584541216'}, 'Marlan Delizo': {'text': 'Thank you. Philamlife', 'post_date': '1584940873'}, 'Niel Painagan': {'text': 'Thank you', 'post_date': '1584537508'}, 'Valerie Damaso': {'text': 'Thank you Phil am...', 'post_date': '1584552197'}, 'Mike Chua Mendoza': {'text': 'diretso pa rin ang pag debit ng march due date ko. i dont know if april will be the same. sana hindi.', 'post_date': '1584777264'}, 'NylJaii SaiJaqu': {'text': 'Hello How about auto debit payments?', 'post_date': '1584874254'}, 'Jan Centina': {'text': 'What about  with Auto Debit Arrangement?', 'post_date': '1584509260'}, 'Benjie Manalo': {'text': 'Philam life good job mabuhay po kayo.', 'post_date': '1584520370'}, 'Rowena Demerin': {'text': 'Maraming Salamat Philamlife', 'post_date': '1584495933'}, 'Willard Snaips': {'text': 'How about sa auto debit? Kakaltasan din ba or extended?', 'post_date': '1584495986'}, 'Hilda Nielo Ross': {'text': 'Wow....maaasahan tlga ang Philam life❤', 'post_date': '1584495685'}, 'Franielyn Esteban Paelma': {'text': 'Paano po pag due ng grace period this March? Pwede pa rin mag extend ng 30 days?', 'post_date': '1584492375'}, 'Ana Marie Belleza DeVilla': {'text': 'salmat naman po..', 'post_date': '1584942045'}, 'Joel T. Villanueva': {'text': 'does covid19 covered?🤔', 'post_date': '1584540221'}, 'Nancy Rivera': {'text': '5mons na po aq hindi nakakapag hulog pede q pa po ipagpatuloy maghulog', 'post_date': '1584683347'}, 'Zivie Amora': {'text': '❤️', 'post_date': '1584623674'}, 'Sid Cuanan': {'text': 'Ang due date kopo ay june 28, baka po pedeng isama nako sa may extension na 30dqys,  thank you in advance.', 'post_date': '1584635480'}, 'Marino Mary Ann': {'text': 'Covered din po ba nito ung bpi-philam? Auto debit ako pero nag close ang work ko before quarantine so napilitan akong withdraw ang sa account ko.  Kaya 0 balance talaga', 'post_date': '1585824115'}, 'Maricel Santiago': {'text': 'How can i thank you?I have made a letter of stop payment di nangyari and worst nadeduct sa acct ko agad kung kelan nasa gitna tayu ng quarantine simot laman atm ko pati maintaining balance at wala na pang gastos naiwan... wala man lang email sa akin regarding the debit nag report ako sa sucat branch to say d nakakarecieve message roaming ko ng text kaya email na lang😞', 'post_date': '1584613676'}, 'Ruel Hallarsis Layma': {'text': 'Mam sir pwde pa ba ako makapag laon sir my otang pa ako sir salamat po sir', 'post_date': '1584600995'}, 'Ma Luisa Cero': {'text': 'Gud afternoon po stop po ba processing ng refund kasi mag one month na po eh saka kagaya nga po ngyon kailangan namin dahil wala trabaho. Tnx po.', 'post_date': '1584941714'}, 'Charline Gawidan Bayongawan': {'text': ""Re'ut Htur iyong sa policy ni mader na due date ay April 1. May 60 days ka pang palugit."", 'post_date': '1585542268'}, '愛 リオ': {'text': 'due date ko ay april.. so kung ndi ako makahulog ng april ay pde p hanggang May... ganun din..😅😅', 'post_date': '1585390439'}, 'Incxsboard Ticketing': {'text': 'sakin ng auto debit bat ganun', 'post_date': '1585477615'}, 'Fujie Salvador Satoh': {'text': 'How about auto debit sana naman wag na muna ibawas', 'post_date': '1585576002'}, 'Niezle Balbis Quiñonez': {'text': 'Thank you AIA-PhilamLife', 'post_date': '1584535287'}, 'Jose Cheysney Roma': {'text': 'Thank You Philamlife', 'post_date': '1584523799'}, 'Jhonly Ramos Cacho': {'text': 'Thanks Philam ❤️', 'post_date': '1584514709'}, 'Rommel Espartinez': {'text': 'Thanks Philamlife!', 'post_date': '1584512633'}, 'Richard Decena': {'text': 'Thank you! Godbless!', 'post_date': '1584512499'}, 'Vicpatrick Mandin': {'text': 'Thank you Philam Life!', 'post_date': '1584512496'}, 'Daisy Kanta Ririt': {'text': 'Thanks philam life', 'post_date': '1584511181'}}",713
"Train like a Spartan even at home! Join the daily virtual workouts of our Spartan Ambassadors -- live on Instagram! Check out the schedule below. Live a healthier, longer, better life with #PhilamVitality! Visit this link to find out more: http://bit.ly/PLVitality",https://web.facebook.com//AIAPhilamLife/photos/a.247496375360336/2675613015881981/?type=3&__xts__%5B0%5D=68.ARAqxUJKA-DQdiD6_T8AfNNjbGV4sRpdo2PahGjFVpJgw6jNV0YbWIIpDJ8iHJo18DWzX79QncdLxEctD0k9-Qw1QvfoXjSvGw7yPgdZa71i6kh8fFXmZFsZ9ikFDQfqTnbs2H3U3e-WwfyXkP8nt53SMEthJeP41dT6hk3SIB2Zej393m0NcuH4ecCIdjtWg-4xsKPlqD_b3I5--cCCkAiqIE-2hPWO6BuEgnG3iwwoZ7dl94tj_Xa1-_tH4jYEZXMNUzmv1jPk3E2aIzbbFBIE7reVHv09uttPEVw0hQCpp9CKRgp3bzPYu1jf5U3j9maU5ldkWjZ8ChrFexUIjLdvbA&__tn__=-R,2020-04-06 11:15:57,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/91984364_2675613022548647_5949870606634713088_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_eui2=AeGdYxVUTgSrzDreJOqn1H_qce4I91Qc3Gpx7gj3VBzcagMfrShEcnk_76Js8IpsuJzM1CVWgxUzrqQMKLuKT4Tc&_nc_ohc=WdziFCzrj40AX-umml6&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=7&oh=00d136b96f9dece35858cb0d10a8af19&oe=5EB1BEE8,"{'Total': '97', 'Like': '71', 'Love': '23', 'Wow': '2'}",{},67
"We have partnered with Bayanihan Musikahan and Puhon: Ben&Ben to deliver PPES, test kits and transportation to those who need it the most. We are also supporting food security programs for those who have lost their capacity to earn. In doing so, we feel that we are able to fulfill our mission of helping Filipinos race against risk to live a healthier, longer, better life. We invite you to participate and give what you can to those who need it the most. Let us all do what we can to #FlattenTheCurve!",https://web.facebook.com//AIAPhilamLife/photos/a.247496375360336/2671329392977010/?type=3&__xts__%5B0%5D=68.ARAp4_kGU0eb9knMq3huZituaMiYT4qKBwwRR_sRe4SaxkdxeOnoE3jjOByyzJFngY0-wgPcICdMqEi2nx3OeCl6ywaFSqUsADce1xI_boG02BnK3spnw8r-qJ76DMuTiuyt8Ydt-6dDJnzIiTTMOQ0VNwendEByeR0axzbBywQRKgPi-nKLPzvAnQL7TQK4zKkvbOiCIMT-yWZLJYYMb1VkmungoajXKzoPmcgQ0bEVGJgHYpZ7VhMHGmE1tWyHJ6so9AKLmtWUfWL1YM6-xTHVYK_8ThGocMHoXrat1c8Q5nZtX9aeouGFzHxHKcHdedHidXc_EUyF-NlIRqvE2gnQfw&__tn__=-R,2020-04-04 12:40:49,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/91630681_2671329396310343_3460927167293030400_n.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_eui2=AeGTMAxd4UOgLglhSkuBSe_QXiFleChPJ4ZeIWV4KE8nhvYYRt2u07s8JcwsaaxmegiR4fVsDi3jMPwUJtFUYtaK&_nc_ohc=SWTXjLJOupsAX_yrffx&_nc_ht=scontent.fmnl5-1.fna&oh=6893d5e3cb882d87647aa3405d9cbde0&oe=5EB2B052,"{'Total': '675', 'Like': '447', 'Love': '228'}","{'Melody Gayares': {'text': 'Sharing is Caring . Thank you My Company Philam Life.', 'post_date': '1586163715'}, 'Leo Bihag': {'text': 'How to register online filam phils. even i am here in saudi arabia?', 'post_date': '1586093284'}, 'Nicole Apat Orcullo': {'text': '❤️❤️❤️', 'post_date': '1586165010'}, 'Hannah Kay': {'text': '❤️', 'post_date': '1586004276'}, 'Nenita Franco': {'post_date': '1586184430'}, 'Lance De Cordova': {'post_date': '1586014258'}}",447
"Sleep helps your body fight back infections, reduce stress, improve your memory, and boost your mood. So, are you getting the right amount of snooze? Here are some tips that can help you get a good night's rest: https://bit.ly/2wDXytz",https://web.facebook.com//AIAPhilamLife/photos/a.247496375360336/2662739350502681/?type=3&__xts__%5B0%5D=68.ARAvxm-LEu8gQJw3xkEUi9LaFD8oMYy_u3-NM9DVpuY6ySwI2BKyaqC-mJv3joIOSCCIuWviPBR2jwGYy86w3XBd0QpeYMKAMkBYTvsotF3tXWYjgBjtAR_Kuz3pS5TkfBtwLwNJuCQHUghz6zJiFyXjkxo7gfVvZqp7LLhqkAxGza7DrUOKMf-tIw2kdH8wLwTnZHiq2veozig2aJPYzG7pstUnabhqylPHmr_KPmaz_M5gCXvGDyCJUAZZDwgsNQEmlqJzpAWm4F4eNhjwsdaOQtIMWYGECmeZ6v99On1VZ5pQ1zAh5izI909bKJn1jaOnmXJEH6RPgk37AvjxzMHq5w&__tn__=-R,2020-04-04 03:00:00,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/91524785_2662739353836014_531495137658798080_o.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_eui2=AeHU6Z4DJNuhRNuHbAA2QKfuDps-9ZTR5uMOmz71lNHm49MYt44RNhdPjU8FKosNXHr5FD1rjwiGYjdOKsAtAmJX&_nc_ohc=c1GWg4Snh30AX8xJQQ7&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=7&oh=952e78d4432539583dc6958c76e4629b&oe=5EB0B542,"{'Total': '122', 'Like': '99', 'Love': '23'}",{},43
"Looking for more musical acts to enjoy? #BayanihanMusikahan's got you covered! Check out a string of pop-up performances all across social media to heed the cal...l in lending a hand to the most vulnerable communities affected by the pandemic. Check out the links down below to know where you can watch their performances live! April 4, Saturday Michael Llave - 4 PM https://www.facebook.com/mic.llave Red Cabrera - 4 PM https://www.facebook.com/pseudoredph/ Tiara Shaye Cinco - 5 PM https://www.facebook.com/tiarashaye5 April 5, Sunday Zion Aquino -  8 PM https://www.facebook.com/lioncalledzion/ Mike Regalado - 9 PM https://www.facebook.com/iammikeregalado Rica Arambulo - 10 PM (URL: https://www.facebook.com/rica.arambulo) April 6, Monday Roy and Lissa del Valle - 10 AM https://www.facebook.com/lissa.t.delvalle For donation, please visit: pymy.co/pbsp  (Mastercard, Visa, JCB, PayMaya) donation.ph/pbsp  (BPI Credit/Debit cards, GCash, GrabPay)  give2asia.org/pbsp (Donate in US Dollars) #TaumbayanToTheRescue #StandTogether #ThanksHealthHeroes",https://web.facebook.com//AIAPhilamLife/posts/2669220636521219?__xts__%5B0%5D=68.ARCZq08Yjlv-nRPIWIsF8ZSMD33yV8HKsY9aRI6YINrwXiEPLZ3RVtaUX-K-CF0bAe23lC0SU6mxFCucdu9pGirdVgmDvEtCTKmiKmGtd21fpAUSnCXTBMeT9UKLA7U1ByREVuVPcx-4vEE8wKiw0Zvrw2ZgxqCOV9ijwzothOJWQI7qBxmhFH9-3qNPIYOwwwbbhzf7eNDW6G-iTdEVpIxlHf0fftzXX02WFZ_zX1mGDX_QoUIAo3Em8A_JKVzWcxfabsLUbFR3ZdErRrAWw_TOkS70UiPjRP2ptNaENH2TaHOLRMcTL3Q9iwxZekSu_C4Nxg36O6Z7gWuVi0R8_I5Mypn2gd0Vm6Gu7tTj7oEZIwYEiKfsuSsjF4EbrNvnxPIZRSv4qb5Xrpwb9-N-OpgcjONVj9ePO7dwtb_M8GFoV-_uUUSd83j0IpfkGeLe2Zy6IPLulnH8l3S_QYYjiHLk91Zks1Hd30eTMhn7NVDCId87B92LSg&__tn__=-R,2020-04-03 12:02:35,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/91924769_119217989720762_1746760081136943104_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_eui2=AeHtNPH2oMug9Isq1UpHyDFcwnRCSwJ_VPHCdEJLAn9U8eCw0PNx28q1cKEM4y30VU974mj7BCmB7uzAVbc1KvV0&_nc_ohc=Oha2xnrEsUMAX_kSdjM&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=7&oh=ce9d0844ee55d3994d2e15f5dc6dd6da&oe=5EB347F1,"{'Total': '33', 'Like': '24', 'Love': '9'}",{},12
A special message from AIA’s Global Ambassador David Beckham. #HealthierLongerBetterLives #LiveBetter,https://web.facebook.com//AIAPhilamLife/videos/355400398744209/?__xts__%5B0%5D=68.ARBvuBNAd8DaxR5WL77UaRe0qaLLUyyH4P0hgDHxBFANrgDwkP4CQ4GtxKvpDoSWPcN9MQNhqSrErYSSLaf4Uul1cRQ8bLY_dtmi_RdAD49lijC1ItwY8vc_MgOZdqGP3hoE_9_Y0yWUYquvnd9bvPIsgW7R9l6QnQJnWREYD4lZWurWnMM1Y7twWmJ26lJ7NSDYrt5Ew0hLd31oFVfblaQKZDrcN831wV9PHZSsWL9enbhkoU1p3rfF4rROm-1IGl88XPsv4BysAR9qrU48Eei9l5j9FRb5VeiabeTuf-GR34wJhXPo3zIadTpE2x6O7uP71Yfxy6rIHumgig6ocwTdvxuJCZWSfpWUJA&__tn__=-R,2020-04-03 11:00:00,,"{'Total': '249', 'Like': '178', 'Love': '70', 'Haha': '1'}","{'David Beckham': {'text': 'Happy to be able to share a message with my Philam Life family during this time ♥', 'post_date': '1586179380'}, 'Susan Alvarez': {'text': 'Thank You David...', 'post_date': '1585912172'}, 'Pia Donnat': {'text': 'Thanks Pa!', 'post_date': '1585971715'}, 'Christie Marie Rafols': {'image': 'https://external.fmnl5-1.fna.fbcdn.net/safe_image.php?d=AQDcxtV5pjzIN948&w=740&h=536&url=https%3A%2F%2Fmedia1.tenor.co%2Fimages%2Fe73002e1c49fd31bdc308d3f27605d3e%2Ftenor.gif%3Fitemid%3D11674749&_nc_eui2=AeFsZl2bfypw602ypF2MpoMstP-ebNGOcTe0_55s0Y5xN4aah_IbT1KD7GcBeGiRjkh1TlCVeM_-aQf_DptBloQ8&_nc_hash=AQBTJkNb8XYx-tTd', 'post_date': '1586087097'}, 'Emi Garcia Nato Gabinete': {'text': 'Alexander Gabinete ...😍', 'post_date': '1586006646'}}",158
"Keeping your mind engaged is good for your mental wellbeing and a great way to make use of your time, something you might have an abundance of these days! Here are some ways you can boost your brainpower at home: https://bit.ly/3aApSLX",https://web.facebook.com//AIAPhilamLife/photos/a.247496375360336/2662733387169944/?type=3&__xts__%5B0%5D=68.ARChUKhpS8lzq9ZaaqhHWY15W1pFXbp985DbBNBpsfJinxlCXdpVxLqZ_nsGmLuAnxNLSUNdimiNIo8k8dBJQCWM1pRBM8Jvsq2odW4dA0_sFtXSLVTVmRukkpW39Kw0_X6sBlI8jDPE3TcjFhqVGXG2oaFyDyt0POXMIo0B0wiFtd-8bF2wJivNXw71Wxft4m5c0L1h7jyua_9N_y88jd43NQ8acEv2Zdap9i11OGrQOuZa4eGo2YnV7_jOLkOqi9TRGA9L0zFNAeyvQzwoWBSWCBsvTVm61aTgMoU5g8kM_g1j1_QOCJvHioQVH_jRNesmmkej05nSu5ovhfkx7e1vNg&__tn__=-R,2020-03-31 10:11:21,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/91767734_2662733393836610_907246673741217792_o.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_eui2=AeGt2z5bKQspSU4NDe8DactFBVHs1ujx3d4FUezW6PHd3gQSs8B5ZsO-UPeAHRYwBv_rcsT5Af_DXC5jT02bOgCi&_nc_ohc=hG77y5VC9iAAX_XakJ7&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=7&oh=cf53b149554f0e70d21fd23e387fcf65&oe=5EB1E427,"{'Total': '159', 'Like': '128', 'Love': '31'}","{'Charline Gawidan Bayongawan': {'text': 'It’s time to transform and start building and realizing your own dream.There has never been a better time. And the world needs your help now more than ever.…See More', 'post_date': '1585748968'}, 'Lance De Cordova': {'text': '♥️', 'post_date': '1585652942'}}",128
"#AdvisoryUpdate as of March 30:  Our Customer Service Centers nationwide will be suspending operations however, we remain committed to assisting you on your policy related needs despite these trying times. You may contact us via philamlife@aia.com should you have questions or concerns.",https://web.facebook.com//AIAPhilamLife/photos/a.247496375360336/2660346194075330/?type=3&__xts__%5B0%5D=68.ARBaOJVxHD-MwyBozgGtW4y2aUUpQhBok683sVUiualxjDC3OtKs2d07HZsXavaq6M7kcXxs7RNfRitduKHdtgKFChZ63UWME8P_29iMm4WMNtWACSAK2eewAvXgchAjATLmy5Pft2UO8-uGg8o-e5xk4kEBpjQta2KGu1KYyTLilJatJEDFMLbIrkri6FKl_GPqbYc5ap6-M_kcY20xrph5nAIUcGLnhO_ar3o1xabZ8FVnlopA44mwosQsJvnMZibVMrOfsQ9eqtK7sRVMbADuvNewk0BtkIO3etm1pINjNME-NBFNVs0aMEPjPw_iCuP1LGCKv42k7AFSBQnjnM0vpw&__tn__=-R,2020-03-30 06:25:01,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/91131775_2660346197408663_600847658214490112_n.png?_nc_cat=101&_nc_sid=8024bb&_nc_eui2=AeFWnRKugF9fQQyWCm57I-gBxIhqDvi7JyfEiGoO-LsnJ0WtgGSfPdBcHxcmTCNZvDAoitxWwWW1y11BlygxtCaA&_nc_ohc=R_oHnoZ_5d4AX9Rijfp&_nc_ht=scontent.fmnl5-1.fna&oh=7fc4d87246a38695dfe034295c6fb2d9&oe=5EB2DE5F,"{'Total': '141', 'Like': '128', 'Love': '13'}",{},94
"#PhilamVitality Healthy Hack: Sleep is the best rest you can have, and it can help you stay in tip-top shape and fight off diseases! So get enough shuteye and earn up to 1,825 Philam Vitality Points yearly when you get 7 hours or more of sleep every day!",https://web.facebook.com//AIAPhilamLife/photos/a.247496375360336/2651161961660420/?type=3&__xts__%5B0%5D=68.ARAVtDanQjbB65PWxU53dNMXrgi93XATQivuu4rJoo1DcK7YJMxnbcEagbSeFzJlHNtzPtxke7z0DuO4RCTcS6sbG7PpgYNHM_qMjSiOndiviuulw1iz5TUupI8lKcBDYL185dTs7CYrFVn2RUofx6IbDQPVO192yhEHfMICU-EizHrSl8Ug4-plu3SNMviacnFN4bNyPtwNczwlezm2dSgM6OA1BuGS7N1FCYzYGt1HOD-LCX2ZIWtEd2YdmZ4dRyh477eZPrG3YkQwjWhn7Lr1j-Wa_jnzEYduPN8LuGGDlFWVfUR12OPt19uMXDrhLN351Fc3knkjLl5FQoM4nM83Hw&__tn__=-R,2020-03-28 01:00:00,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/90868217_2651161964993753_1554236939438129152_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_eui2=AeE_nC_uI2R9-HyUcX3-wf2VvKUNqRGnri68pQ2pEaeuLswa_FL5QNqJyxLgZqZXpGhJPhiAlnyQwBcowcVDDoKq&_nc_ohc=0BxbZi83a2AAX9n5fMN&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=7&oh=9f5926e14caf7d8050619bf2f7bc2503&oe=5EB06FCD,"{'Total': '114', 'Like': '93', 'Love': '20', 'Wow': '1'}","{'Joy M Godoy': {'text': 'True', 'post_date': '1585369677'}, 'Honey Heart': {'text': 'True', 'post_date': '1585361700'}, 'Garyboi DV': {'text': 'True', 'post_date': '1585366510'}, 'Michael Dela Cruz Masirag': {'text': 'Ganda ng pantulog ni ate 🙂 with light make up. Hehe', 'post_date': '1585363461'}}",52
"Tune in now to watch Ben&Ben's FB Live Concert, for the benefit of front liners and urban communities affected by COVID-19.",https://web.facebook.com//watchparty/518020515819540/?entry_source=PERMALINK&hash=ASsTtLDq0Ciu1KOBh7T-90K5lJiDng9RWokmEMxhba_VIw&__xts__%5B0%5D=68.ARBdG14uyRVb4ZzFz6aZYXC-ORJ57yymzdmF-txNhxx8MEbv7eL3imXgSStYW_3eJqExUk0Kdlr4NHOL_xS6B8Ybd0gORffX5dMeJOTWn8fgCkFyiu8-8fSiuKtIQBygAa-3xWdBXGUSAQa_aqHp3mPLyZ2PwXcrJ-o1KVhaFBis_-qTkRm6rLdnvqrHaCZ0z2zWZ1_XlmDBBonjcvNLpyyLtaly-7EIZvWiCj1fBeKbr9pwMpxUoNCj9gKKAqxouaip04R8im1Vos4P0I3U3czieL6bO_yzrT7w-Zx0Snes9xlW7qTV56svtHxLIfMMNGb0DBCb7TGp4WIe1Jd0IssEA_yWggf3OcABwLc0L7KWDL_EPhAWDwXanUA&__tn__=-R,2020-03-27 11:14:16,,"{'Total': '97', 'Like': '58', 'Love': '38', 'Wow': '1'}","{'Joseph Rommel Ocampo': {'text': 'love it', 'post_date': '1585309429'}, 'Melissa Laresma': {'text': 'Nakakawala ng pagod at lungkot. Galing Ben&Ben! God bless.', 'post_date': '1585312160'}, 'Ana Rose Ochoa': {'text': '👋', 'post_date': '1585308094'}}",27
