Post,Link,Posting Date,Image,Reactions,Comments,Shares
Happy birthday is so yesterday! What are your other favorite 20-second lyrics that you sing along to when you wash your hands? Let us know in the comments down below! #ALifetimeForGood,https://web.facebook.com//InsularLifePH/videos/1130562070629710/?__xts__%5B0%5D=68.ARA6aeniq_Nil1-PCNKiHkzhSAnvqglUREpdC5l_2RFqtjmBVb5ChN4pA2MDoJASVMwI_CDvOojd-DxN401S4jiyiQUjPnINIrdJzoXeRGq0D9R6gNhTE1jQIRsOtEsIfvS3S6cgi8SXytjEG2HsAuVNsf5GJjofsX5lu6BvoKxqy-vC18Ca9Ktyf7MrFSB51Y6Jeer1yc6fwWGK-sxHDvunoU-kGXw-zGINygBBcahVaGsn1JX97UQsDDNHYpRLdWa1N27oj_5czo-R-_lFjt6QzGwGH0bBC9sn1k6b1KTJufNljEV3ygJYUkCloSnOp43-vwAxvwlXfhtUSAYJbvq5slVWgJ5KECK07A&__tn__=-R,2020-04-05 03:21:26,,"{'Total': '26', 'Like': '18', 'Love': '8'}","{'Reena Del Rosario': {'text': 'Kill this love !!!!', 'image': 'https://external.fmnl5-1.fna.fbcdn.net/safe_image.php?w=396&h=396&url=https%3A%2F%2Fmedia1.tenor.co%2Fimages%2F4e1d2b6338ff4e075984773d457ce766%2Ftenor.gif%3Fitemid%3D13876036&ext=jpg&_nc_eui2=AeGrfi5GFGX9-PMjYVtOnegwRhrcCnP6jXlGGtwKc_qNeQvGZFtB7mQPD9_4a3ujyfP6Yz5jh83tvSTndj6WsF2a&_nc_hash=AQCWMj37meslo0z-', 'post_date': '1586075046'}, 'Eva Cular': {'text': ""🎶 I need you babyAnd if it's quite all rightI need you baby…See More"", 'post_date': '1586166172'}, 'Frankie Sts': {'text': 'You better lose yourself in the music, the moment/ You own it, you better never let it go/ You only get one shot, do not miss your chance to blow/ This opportunity comes once in a lifetime/ You better lose yourself in the music, the moment/ You own it, you better never let it go/ You only get one shot, do not miss your chance to blow/ This opportunity comes once in a lifetime 🤣', 'image': 'https://external.fmnl5-1.fna.fbcdn.net/safe_image.php?d=AQASxCFUtZ7hbfgc&w=396&h=396&url=https%3A%2F%2Fmedia1.tenor.co%2Fimages%2F85c8db833933406df70450a3c6f7c1b5%2Ftenor.gif%3Fitemid%3D5124247&ext=jpg&_nc_eui2=AeFhq4_8jJ2bS_W6ixCEIKXFds5a4hjAhrp2zlriGMCGuuI4bkHtocMag6GUEI0weU-BFnuG3pa7QMdk88dSVWL-&_nc_hash=AQAi-_oNs8sMgk1S', 'post_date': '1586072241'}, 'Maria Eloisa Pedro': {'text': 'My son and I sings the Itsy Bitsy Spider 😅', 'post_date': '1586057824'}, 'Johanna Tamondong': {'text': ""BTS' On ❤"", 'image': 'https://external.fmnl5-1.fna.fbcdn.net/safe_image.php?w=396&h=396&url=https%3A%2F%2Fmedia1.tenor.co%2Fimages%2Ffe63209d1ab04edcb22112f8bc0a9016%2Ftenor.gif%3Fitemid%3D16378795&ext=jpg&_nc_eui2=AeEVRzHNIZqYQc6kbyP-xFfTP3PHwHyL-2Q_c8fAfIv7ZB-4KHCTcD-XtJ3EySI4_2vimcAItHhgU5DAfumctcCh&_nc_hash=AQDup0PSmKFRNNCg', 'post_date': '1586135870'}}",15
"Treat yo' self! And the people you live with. These simple recipes submitted to us on #SheShares make use of ingredients that are most likely already in your pantry. If you're out, they're common enough to be in your go-to supermarket on your next supplies run. In the middle of a health crisis, find comfort and nutrition in good food. Stay healthy!  https://www.inlifesheroes.com/…/easy-healthy-recipes-quaran… #InLifeSheroes",https://web.facebook.com//InsularLifePH/posts/2850304758339427?__xts__%5B0%5D=68.ARB9V1YQRESsMBv04BhljJnvdn3F4cj5VuZC6QHnBQVEP2Jl0Grtq00kMxlt7A5TRw8MO55jxF7wm2DYjIyQZh6iVdGlXs8Iec0u-EsNsZ-vH6RSLCAXMduBHpMiEAZHuXBQ_mDE6dGtLvdIBHBmaL-_pE2q66O4pA9HoLc7f9jZAfrErV1vsR4oco8s3lOZXD3czBHT3JL3vb0YNli-UAYsXA8DzgA2gnYAUopltIfTymZlZg6MMEaMdedXfCXB7QYsZE5qAhi5EycyikYx9Mo7__KVNgGqhvey4Swyu12_oiVaREwVvbviqKWf8aV2byzpZPGHavxoEDI-UMoY0ae1sw&__tn__=-R,2020-04-04 03:54:33,https://external.fmnl5-1.fna.fbcdn.net/safe_image.php?d=AQCorj_KapFlHDez&w=540&h=282&url=https%3A%2F%2Finsular-sheroes.s3.ap-southeast-1.amazonaws.com%2Fproduction%2Fuploads%2Farticle%2FwhqdNvsuDBuWA9C1dkopjVzu%3Fresponse-content-disposition%3Dinline%253B%2520filename%253D%2522ingredient%2520recipe%2520pic.jpg%2522%253B%2520filename%252A%253DUTF-8%2527%2527ingredient%252520recipe%252520pic.jpg%26response-content-type%3Dimage%252Fjpeg%26X-Amz-Algorithm%3DAWS4-HMAC-SHA256%26X-Amz-Credential%3DAKIAJRYEOUFG5LAMSKMQ%252F20200404%252Fap-southeast-1%252Fs3%252Faws4_request%26X-Amz-Date%3D20200404T035426Z%26X-Amz-Expires%3D300%26X-Amz-SignedHeaders%3Dhost%26X-Amz-Signature%3Da3fc93112428566459a0c564002bd0619fc708dbb07f074f4592976537ab6d14&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_eui2=AeFML9hisS4Lut_zkJhCFzlLGqZVOhlCEeQaplU6GUIR5NhI5M9rILeUuPnbVn42L-N2rLA1rNJ_yK37Op8IDqBE&_nc_hash=AQDopMhNuBdNpD_J,"{'Total': '67', 'Like': '54', 'Love': '13'}","{'Rhealynde Dabuco Donaire': {'text': 'IfRhyme Donaire', 'post_date': '1586165868'}}",40
Relax and unwind with us with a movie! We're doing a Sheroes screening of Wonder Woman tomorrow night (Saturday) through Netflix Party!  Two easy steps to join: 1. Visit www.netflixparty.com to install Netflix Party  2. Go to bit.ly/sheroes-netflix-1 at 7PM tomorrow and click the NP icon next to the address bar Let's watch and chat the night away. See you there! #InLifeSheroes,https://web.facebook.com//InsularLifePH/videos/1102923606737158/?__xts__%5B0%5D=68.ARDrUV5n90FkbR7Y1v2j5AjQHb9yqIZ1YVpa5H4q0al86RkTUtC9L_xzdqH9OOEh6SeW8i71IuE6nfh9Aa9lmfaTifZows7mx8Nboq-VDR0bPDMy0gVy9NBM0vea8vABy5cChz7dLh9VLU5gmNWjhdTTkHZNPHsaP4-e3noJOyndwa4Lj9EiXRPAaTTVwo2ZmbP2PoOA2QesPx7iQUYd1Puk6UXS5YUsI1TeKbCJap6YxEwqE9HwTR9Y84V8yY3iqAexCizp8F7soKD8AZZxM-4etAn8PkxvRScYuqRyzHciyRzoRXPqEqp_TC0Nk9tkO3dEOvQXmBZdDpbLvBAYSJOqHFUrfS48T6LxzA&__tn__=-R,2020-04-03 08:20:46,,"{'Total': '43', 'Like': '33', 'Love': '9', 'Wow': '1'}",{},26
"Did you know that the act of learning actually makes us happier? The science backs it up! Check out these e-learning websites to lift your spirits and feed your mind while waiting out the lockdown. These sites have partnered with Ivy League schools and top universities worldwide, so you can be sure it’ll be worth your time.  Create #ALifetimeForGood through knowledge and a positive attitude. edX - www.edx.org... Coursera - www.coursera.org Udemy - www.udemy.com Khan Academy - www.khanacademy.org",https://web.facebook.com//InsularLifePH/photos/a.202621819774414/2843825835653986/?type=3&__xts__%5B0%5D=68.ARC9o-QpDwSlQZp1BeshskSl19Niq7lRiVgiM6d3M1haPXeiS9d2yLjcSLZHupTe1obXfMWAKNvvXGFwdEJkpDBRTIziB72kP0hk0T4G8OV_-aEn991eTiph8Zy5nCkcHPiHgnIvd_k3ebFps07-znPd5NwyaDnMOecQ1y9YsCc-5F5qW7ynlX21ialL1p4ifPxcSRT7P2QI2PFtoYPeYAHdL3OyjEafNkxt2Xc1zft35nk5CMAGnEHEJ93Ovnc20L1xWpQjQ-BJ08unGna_JZ9eCMfiVSxrZ3jmRDg2uqiKGFvcgAVqTOR1PNd7XzXdzntJMT8vj_BwkZja7K0UavAS8g&__tn__=-R,2020-04-03 00:00:00,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/91271491_2843825842320652_921719652671815680_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_eui2=AeE_cNH7SwL_s08o3MSAA0WV1iHUtwlrXnDWIdS3CWtecCgOeu8iF3RkUxUsEnfq8YHzZTN6yo3zfaxj7DIqU9t_&_nc_ohc=TK-1knONYAsAX-ze1jf&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=7&oh=e2f073d29b513c72331d756868884213&oe=5EB1C17E,"{'Total': '62', 'Like': '56', 'Love': '6'}",{},49
"Three weeks into quarantine and still trying to master working from home? It really is quite difficult, especially when you have a family (or a dog!) around who you want to hang out with. The most important rule is to set boundaries. Keep these tips on how to achieve that in mind to help you focus and be more productive. And remember: stay away from your bed! 😴 #ALifetimeForGood",https://web.facebook.com//InsularLifePH/videos/520953278613280/?__xts__%5B0%5D=68.ARDA70vQ1cL_tuDXBMmn79XTkb8lBSbOkbgbLDq_mIZM7dA7fOfEbHDmmaPTCe2nXnCpXoA-Fr3ugXNakLoGUdGJm7B0l23RdGmU9M6QLlInCz5pwKs7hf5atCGp5nO6DW9KojM-WFUeKvfysh610W8mhvfBwr0bWP9b3AqAJBfq9DBJaLItpv9ASltuc4l1YoHgEGsf0K9hxCmH6xJiM5V16Jmmmf6OBgYKFF6cN81RDFy-8EKpbytBpZ8GyL3AQKussdxV2uJCWYeZefXCaeHClSbITg7t9Lah0DViilzXoqYZ1A_lvISk6chRr9uLQuxSlNK430uhYN1kokrW94jRaVfmPrzmtyw7-w&__tn__=-R,2020-04-02 00:00:01,,"{'Total': '66', 'Like': '59', 'Love': '7'}","{'Maria Eloisa Pedro': {'text': 'Oh 😅 I work on top of my bed 🙈', 'post_date': '1585788116'}}",40
"The current state of the world can get pretty stressful. Before you find yourself scrolling through an endless stream of coronavirus news on your phone, chips by your side, check out this entry from one of our #SheShares contributors on #InLifeSheroes. There are better ways to cope and, largely, it’s by taking good care of yourself.  https://www.inlifesheroes.com/…/self-care-during-a-covid-sc…",https://web.facebook.com//InsularLifePH/posts/2844482608921642?__xts__%5B0%5D=68.ARD1pciLN_j0DOF7wlqvl86RPPfyYN_ZU5Np_OJsuPw6SM05RDhOIMFaT6vEG5IMdXZGKEoeYlcZDOgm185Y4MT5JTOz6yXjD2vW65YLZIRb6eM99oLwKdOT1Jh8lNOkAfgrDtLGenoLAjM4Gd3Ln96t4IQ9ZxV5Fux-pRTCDEgAYrUaNadO1imTHnJ94mwpJmAuR_sPFBWOehW5mlVfLn_WcYz8NbPTVS5g4DVvS0nXInXAR2fpd9_3m1emzF09eXz2V21Ie7RwKjCCXeHpz2fu1u0kWLCxKhOMae5RGEiSir8Z75JGvuwJeda6-BxKofBqV2PTArGaXWLSYWZ8IsfX5w&__tn__=-R,2020-04-01 12:01:33,https://external.fmnl5-1.fna.fbcdn.net/safe_image.php?d=AQDAKaX4JUoAs5uE&w=540&h=282&url=https%3A%2F%2Finsular-sheroes.s3.ap-southeast-1.amazonaws.com%2Fproduction%2Fuploads%2Farticle%2FWMrtbj3x35GejqpndF7rug4E%3Fresponse-content-disposition%3Dinline%253B%2520filename%253D%2522self%2520care%2520coronavirus%2520scare.jpg%2522%253B%2520filename%252A%253DUTF-8%2527%2527self%252520care%252520coronavirus%252520scare.jpg%26response-content-type%3Dimage%252Fjpeg%26X-Amz-Algorithm%3DAWS4-HMAC-SHA256%26X-Amz-Credential%3DAKIAJRYEOUFG5LAMSKMQ%252F20200401%252Fap-southeast-1%252Fs3%252Faws4_request%26X-Amz-Date%3D20200401T120056Z%26X-Amz-Expires%3D300%26X-Amz-SignedHeaders%3Dhost%26X-Amz-Signature%3Dbada061ccc4900848fcfecf8ef33020682e68517c415bd5afa1d47ff4b8d087f&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_eui2=AeEvDWRqAa5xp6JaUSQH5spESXDrn8XRGTlJcOufxdEZORr9tFAJJCeXjPwvcwfkwJMONv-1crh4x__3QURae5Zk&_nc_hash=AQC9wa42BChVTc7d,"{'Total': '59', 'Like': '53', 'Love': '6'}",{},28
"Got a lot on your mind lately? Tips, tricks, tools, techniques — whatever it is, we'd love to hear it. Send it over to letstalk@inlifesheroes.com for a chance to be featured on #SheShares on www.inlifesheroes.com/she-shares. We could all use some fresh air on the internet right now. #InLifeSheroes",https://web.facebook.com//InsularLifePH/videos/856593448189692/?__xts__%5B0%5D=68.ARAxAxzUa0qz_zAlUQVC2805VTNX2609OTNLJUZlaSHNjOrafWqGsBXZufTcTq31KiU86HB7jV7Z1nODyn3hOMW6yPF1T0c1ZebSyG_gaXifCVNsX6UWBuLjNb5wb5X-dAzmDWFgdQ7gqTQ_uabshLiIguELKBh4x-siwDmrxqyzNhQg1_iUfuyc_vDE5s9eZPBAGO5VP_u2Q2uYRRfPTj0qpyUB7l5GZARfcigJ91kVGmLKMcCCghES0myYMWPEUCweA6zbdrbDCrmGayma8D_HXFLzMWlClZ3m4TxZUXkJ8Si5LLZ5wrOS1yTYBqXLK8IATmCti71DPQDYk8gDdz6on759yQS30Q1xsQ&__tn__=-R,2020-04-01 00:12:27,,"{'Total': '46', 'Like': '38', 'Love': '8'}",{},20
"Since this virus broke out, we've been told many times by many people not to panic. But how exactly do you do that when there is so much uncertainty? One of our top Financial Advisors lets us in on what he tells close family and friends to do when it comes to managing their money these days. Keeping looking up, #ALifetimeForGood is still in the horizon.",https://web.facebook.com//InsularLifePH/posts/2842281572475079?__xts__%5B0%5D=68.ARBPumL830NXo5pIzuw1NBmlz_s4X60T4W2dH3VggCKhXsj19SnPkaMh57t9ov26hJ_gKRNenApGxF2821BkFbvaKCbr6FD5cmIM1tEwQKcQpPenfn39YppDSyWcu5MZUA9DpDX6je-s3EWvVtCxbK28d62bgiY2Xv6CJpkVUpVMxMP9ArZnsVMi1oxzWN7rvZE-Khsz5SooMKw3raf-VkZapeP45-Zpcd4nGYPRg8D5vqZ4f9-KtyrWwbeAKLJjSbTnumTjv6H3gUmlOL0TsH4iUxZF6NDQAbaGb0Z7tYSrHUgVmfxfw1SYCdYwPUdHh2rdmQYhJPuVxK1Z-6A36WtxqQ&__tn__=-R,2020-03-31 11:06:44,https://external.fmnl5-1.fna.fbcdn.net/safe_image.php?d=AQDL2JubFB-JQ6fz&w=540&h=282&url=https%3A%2F%2Finsular-life.s3.ap-southeast-1.amazonaws.com%2Fuploads%2Fc62b387c-1aba-4ea2-931a-0d2ac062f71f%2F5%2520money%2520moves%2520to%2520make%2520inlife.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_eui2=AeHgT4dEcDI6vIUoH7-lm1pvHUFgYV1ttc0dQWBhXW21zSmZsD0EegjseJFGdenaquMu20VnHrJT-BERWAnOn3If&_nc_hash=AQBaV3PGsnAuXbpj,"{'Total': '91', 'Like': '78', 'Love': '12', 'Wow': '1'}",{},80
"We know how tough these times are. But we also know that the Filipino spirit is tougher—more resilient than you think, more capable of rising above these obstacles. InLife is with each and everyone in hoping for better days to come. Things may be uncertain for now, but it won’t be like this forever. Aaahon tayo, Pilipinas. #ALifetimeForGood",https://web.facebook.com//InsularLifePH/photos/a.202621819774414/2839397979430105/?type=3&__xts__%5B0%5D=68.ARAgHXX5pfW2F8WM7J-gg69Z4LbPVAvvZ61gVXynx2X_6Mt4-3x6Twz04OlVszFerlCFtOl_9sMSw4eY4VY2jfGok0sAJGKar0K-2gFjTZ4ftxuhRyodftofHHhfxXHrs_Bo8VCrw3oP1rX0mYV0cWi5XbLvDoIhueIw0QZWDnH1_Mw2OfELEPahc_dHzb9PypuIjCQcQlVacq8E-kAswa7dVsCoTfmR--RPIyBcBByo4Idyd9EKflSeBdsz99n8Bght8QFsKBPfZPUCw1YL4THoXvxDPkEfdFrzCIGAaCGmh0qPdWWY3EZIWfylhjbz8CKFNNbrmtyv4GnOVhozjs9Tew&__tn__=-R,2020-03-30 05:00:00,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/91100441_2839397986096771_2983896728958140416_o.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_eui2=AeFQW7_N23QboAwVyCUX22dZP-1XPE421r0_7Vc8TjbWvT5Q3aa6XFGUL46zE77Vpbc5eJyU7T9y0jLxfspM_PXa&_nc_ohc=g0qrJSApnaAAX8xiYWp&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=7&oh=45160c7e377989b4fc9bbe9ea6732df1&oe=5EB26E66,"{'Total': '263', 'Like': '204', 'Love': '59'}","{'Dhon Dhon Pilar': {'text': 'Salamat sur Cardona, basta sumasama kayangkaya ayos ba idol.', 'post_date': '1585555377'}, 'Gian Joseph Bulanhagui': {'text': ""Salamat po sa lahat ng ating mga frontliners! Kaya natin 'to! #ALifetimeForGood"", 'post_date': '1585546864'}, 'Carmeling Siy': {'text': ""#inlifeAtin'To"", 'post_date': '1585647282'}, 'Jacinta Tablanda': {'text': 'Sana idol matapus na itong covid para mapanood ka na namin', 'post_date': '1585709899'}, 'Melissa Madriaga': {'text': 'galing mo talaga idol', 'post_date': '1585709770'}, 'Janielle Lenmamag': {'text': 'Galing talaga ng idol ka', 'post_date': '1585676693'}, 'Jeff Ryan': {'text': 'Pa jacket naman jaaaaan 🤗', 'post_date': '1585547616'}}",293
"You are not alone in grappling with the growing impact of COVID-19. We have your back and we will continue to pursue the necessary means to help you during this time. We have further extended the grace period to 91 days from the previously announced 60 days and have expanded the period covered to premium payments that fall due from Feb 15 to May 31, 2020. https://www.gmanetwork.com/…/insular-life-extends-gr…/story/",https://web.facebook.com//InsularLifePH/posts/2839447852758451?__xts__%5B0%5D=68.ARDEYiUh19ZaB1uKG9Pg4Fp7YrlOWv_iOoH52Z76gRuNE8Vnid3GIl4R_F5czOWvrYGejjngh37_jbWXXFQNDusURq-L5-97gI3TZTgPSe05NzlogTfybQUG29UosAdw6mJvY1ybKhxB0BGsrfEP6t1b8PVqy9sjWpxVmLD3JGzakRAfS1BynZduIr8Vf6HTmKHOdNNx-izDQOZkMeCajHR-rWO-aAwL44ET3kg3iv5m0YJ4WDWACycs7mPBeYlJk11IDVZ9y-NLUIVJEEY7fLDF_xmy8YWw8ebn1utz56kOqCOwSBs-tzwlx6I1Oj0QQ-G9i1_UUN6L7nA2VwthcBymJQ&__tn__=-R,2020-03-30 02:38:37,https://external.fmnl5-1.fna.fbcdn.net/safe_image.php?d=AQBKCcsLHhTfiMo7&w=540&h=282&url=https%3A%2F%2Fimages.gmanews.tv%2Fwebpics%2F2020%2F03%2Finlife-logo-alt-381e359cf8a913cbb5ce4e85bf49ecc8e3ac5b0f63d23060879a7d73cdd98355_2020_03_29_15_20_06.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_eui2=AeGodTxYSgWRR8h_EsqZj6MxMYWTYyDxsCQxhZNjIPGwJMHN0EH2pwC1hmEUTyUFPVXApBMN5x1rbAaniwg2wCe3&_nc_hash=AQDQIZm_BdYXtF9l,"{'Total': '181', 'Like': '139', 'Love': '42'}","{'Ellen Tippi Lambinicio': {'text': ""Thank you, Insular! I was having a problem as to how to pay for my policy premium due April 2 with the ECQ in effect and what if it is extended. Thank you, I'm relieved. God bless."", 'post_date': '1586084312'}, 'Adriano Pastor': {'text': 'O', 'image': 'https://external.fmnl5-1.fna.fbcdn.net/safe_image.php?d=AQAcLt35TEJZJJna&w=612&h=568&url=https%3A%2F%2Fmedia1.tenor.co%2Fimages%2Fe3d1f7e715553d8a1ea0df79f6335bed%2Ftenor.gif%3Fitemid%3D13347383&_nc_eui2=AeHAWUyna4tS6hsITnlhTKc36UG-Bts1_4rpQb4G2zX_imOqG3LKW-1iZxZs_HBsQGZlUCWLSfvl-UHPHOVmyu9A&_nc_hash=AQBX631VoCFjjt9F', 'post_date': '1585625874'}}",113
