Post,Link,Posting Date,Image,Reactions,Comments,Shares
,https://web.facebook.com//notes/manulife-philippines/manulifeadvisory-and-updates/3146042375426646/?__xts__%5B0%5D=68.ARCyFE6243_72ZEc0e2zYrSVYXKgjR_a23wdTSEB12PPO1X2aObRDRAUcrYt57RwI0dLKIMW1Md-nZiVXdkWRs-T_zv5urYvvcTsA9L_hXUtCNWczorrwk4jZ5e9ali_3PQRLWJx7vZgEMWAuYlt0MdskafuHJH35kJevGVOGdhsSpJun6ps3x8mawcGXq_HOFGX-dG9_D24zrB-jlZSmdcN7npMcXqtYXLshwsqvBkmejGauunstdjXcUpcDm4-8eaqptXsYZHqkHfWyM9VrpkgCxVcVtTWO_oa808g3PvEzbnimwnKvFumMMuGrikl0AGnPmy3BB0jbJRoiRA2Eeyc&__tn__=-R,2020-03-25 07:11:30,,"{'Total': '218', 'Like': '187', 'Love': '31'}","{'Henry Lopez Alvarez Jr.': {'text': 'Thank you for this one-stop site, Manulife!', 'post_date': '1585150780'}}",151
,https://web.facebook.com//notes/manulife-philippines/online-payment-options/3175225132508370/?__xts__%5B0%5D=68.ARCBCvF8PyHRNpMrmXe3fczA80CZx70247gud2dsITYeqExSXgZdHt5OA-VDupzb0ygKMwSkOnQLajM-63zSJoG4e2ZfWpukvO8rgryD-pmQCSnSys45s6zl26TCI6pHLcOGGNF-4q7V62qHBn6ezQFVV8_EB63-gErqBpL_VZVa_IERUsSP01058sQ7pEb7h8bZXAUyy5s8DVOlsoe_n9uUyiueuCo-uUeHXEqiivtyPArXdivPo4zMs0MMyg3r4oHBkuo0Igbox7avgLkRSmhV5odFjFzIj0qIC_FeNKN8R6-REL1O30re2-2pDEpWPMU0Xx48by1SE3S-YkkAmPCl&__tn__=-R,2020-04-06 10:25:41,,"{'Total': '150', 'Like': '140', 'Love': '10'}",{},99
"We’re in the middle of a pandemic, and you may be feeling anxious, frustrated, confused, or even scared. Know that we’re all in this together, and that you don’t need to go through this alone.  Here are tips to help you improve your mental and emotional well-being in these challenging times. If the symptoms of stress and anxiety persist, speak to a mental health professional.",https://web.facebook.com//ManulifePH/posts/3175212262509657?__xts__%5B0%5D=68.ARD3OzUMcCBub3I1TJ_KsZEywytZMFsWKn-smfKGBjsSCtUoOYMIazfHfo0W2_NZ8lQbRlmVk_Om5Sg1MJ8AwXS7hnIjY32qKmjtYTXUbnn1FzRRx5B7y81anTm-ZHo-qyOmvE9jr6NLOmE4CC09rjhV36QZi_9ks3g8MEfq8gmaB8fbpqvljej4F3JzSO1q4ZC3pNcc7RuYNGEX6HqdapZsasXCfLrSL3_fo5LxVt1qQ5wnMT0NdHkdM35EJiEmxqSmIApef3O43eaDpyoVGU3PVw4rivqvLyzA0y1qLZU6NMXDjuXX3vM3cOGOjVhn09uf7ZWeL0npqQDIppJgP_GYLQ&__tn__=-R,2020-04-06 10:08:22,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-0/p526x296/91698132_3175210035843213_7855569190965477376_o.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_eui2=AeEcFu_QiFEl_psWS6tJDZw5b6h0NkmUNXRvqHQ2SZQ1dP2rTPrQg7rqPsmbS83AnwUwR3CfmSIe3_Evsx0mUDXB&_nc_ohc=xRFrsjzHoAsAX-rCqqJ&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=6&oh=4706cbe6258c60d79f8149e66acde140&oe=5EB24073,"{'Total': '875', 'Like': '717', 'Love': '157', 'Wow': '1'}",{},549
"Let the memories of hugs, and handshakes, and time outdoors give you hope that better days will come again. #ManulifeWeekends",https://web.facebook.com//ManulifePH/photos/a.220064528024460/3171816966182520/?type=3&__xts__%5B0%5D=68.ARCUAnemq4G0AWMvO1umg1rSNEeuK_K3H8FLwl9UrV71luAvERD8exev459Nh4J7F0Xy5pxN-XXt5MTt_fjo_PguuoiQJ6gfw5DV2WFUhDrwdPQGRYjedjf_ZRHBwfbLuBEmjxMuDaODeqK6_d2p23ig1tLba7i6pY-SuEXQ3CMMrl__qY8oYWHRuuxJQYggbbdAoQYXES3ajDKC3fRwEDaYKZccbbNXkBQw-ScZAdsr83XsYTVwnYN1raS7qek46ikgpV8Iu9iaBiz7CBjB2ew-id_x6xoMGp55mZh7q4etBzt42-FOIAkD73wzU4u5ncnscaNfl-Ez9n-jbYaAwZBjmw&__tn__=-R,2020-04-04 23:00:35,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/92045309_3171816969515853_291157108601126912_o.jpg?_nc_cat=109&_nc_sid=da1649&_nc_eui2=AeGz-lKIwBIWdCLhUbBnrwc-DD5Mvqva3z4MPky-q9rfPjndfHw8YpNnkR_W5ratW-tHc4Y-xrcn-jiiVXw3-Bgy&_nc_ohc=gj7Y2JLjsgEAX_EQgiS&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=7&oh=bdd1d23e6cb3c433ac8ec83e95e4474d&oe=5EB0209D,"{'Total': '433', 'Like': '308', 'Love': '122', 'Wow': '2'}","{'Joseph Altar Paltingca': {'text': 'Love it', 'post_date': '1586055630'}, 'Arlene M Genove': {'text': '💚', 'post_date': '1586058851'}}",431
A prayer of thanks is a gift we can give to those for whom we are most grateful for. Stay safe and #StayHome,https://web.facebook.com//ManulifePH/photos/a.220064528024460/3167948796569337/?type=3&__xts__%5B0%5D=68.ARAPnKnsBTASwNEW0hS-v28ezGpwv79kwq3n1rhex0REx_RE6oS8AaWMTraVxQp7B1xrDxPQq-3OokqcVyMP_R73plF_D2k-8fbXDIDaATGMr7PnHTO_Kb-rKbc2jpQZZM7-S7zjjD4ika9cFnd6Yg7sDHyxSOoyCLuagS-v-8gk9WujAeBcSrRrDI3VDCALfdR0KLs-f_Gy67Ez7Ud5RvVxfX423SN7VLD6uVMLaPEbcMwZDg7jkuSrHNBMIa4c1pt78dNN8iYvzSiU0ug_b2dtg6Rmm1L7oXY9uJoG079Bt0louhC-EfFGR_cXSoMYd8DnUOuDXS8PHGTwAwZB9WQm6g&__tn__=-R,2020-04-03 09:00:18,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/91872559_3167948803236003_3190786733830569984_o.jpg?_nc_cat=111&_nc_sid=da1649&_nc_eui2=AeHun1GTPMDsQeOS3QpNsjWt7NOsHSjW7Lfs06wdKNbstxctyf_1mbSqz33qSZUU31g60dn3aUHO5lBnjMHCI2v4&_nc_ohc=uIEYM-GNRaAAX_M8277&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=7&oh=7376ec39c2ca4f96d1fe6b2ab4dfd831&oe=5EB14821,"{'Total': '411', 'Like': '279', 'Love': '132'}","{'Justine Draper': {'text': ""MAN KNEW LIFE. THAT IT WOULD BE BETTER IF dedicated to a bright future ahead. With practical things in mind planned for the near future because life's future would  fail if we failed to make a plan."", 'post_date': '1585962832'}}",388
"As you watch the number of COVID-19 cases increase, it is but natural to feel anxious about the future, and this can take its toll on your overall well-being. So how do you help yourself lessen stress and anxiety?",https://web.facebook.com//ManulifePH/posts/3167248733306010?__xts__%5B0%5D=68.ARB8Tjz_oqV2GYpN8Na3UNHiBiAJEiLFdJmRJ-qb9TGIESmMFHfHEYdgogndTxQH4WYSJ7OHj4uHyBi-4jEvC3BgAywNZztBMLDWnt40AqF8Q5nvu8uqda8YHlaBtNzo-crByODJ9yDGUO3Goq9Y_iwWurKvXW65b26FFth2c4GvpoimmoPtaq9mTRbM6X_kwFIkvyFDPb7n1iqkTUMqvehOk5-5bkk7NBcEDL1LrNQTyN5zs4w4mgz5CPwzAUHJjzeCU8y2vMAPO2ygqNcbeD_NBQaulnHYPYTh2itgbTbxJmGsBlQ-r3mdiTIxh8LphZlm_grHxbd8-y8O3iNx8kyCBw&__tn__=-R,2020-04-03 01:39:56,https://scontent.fmnl5-1.fna.fbcdn.net/v/t45.1600-4/cp0/q75/spS444/c0.37.525.276a/p235x350/91915065_23844316160240512_2811940579322101760_n.jpg?_nc_cat=101&_nc_sid=67cdda&_nc_eui2=AeE1Gy5ze-fBfaLY03SkGlQnCKMBfDFCKE4IowF8MUIoTs8NST4y_Q238krJnEdmGZFY34HoN2qcCoQSy0qD9VAT&_nc_ohc=-Y5KIc7PjboAX93CSZ7&_nc_ht=scontent.fmnl5-1.fna&oh=887c42e1cc27c49b1f57c1a7b274eb3e&oe=5EB356F2,"{'Total': '158', 'Like': '133', 'Love': '24', 'Wow': '1'}",{},159
We are providing additional COVID-19 benefits to policyholders who may be affected by the 2019 novel coronavirus disease.  Read to know more:,https://web.facebook.com//ManulifePH/posts/3163195313711352?__xts__%5B0%5D=68.ARBs28cUsWFGG2b116N-79kq8AQBJX8s93pxIn68K-3QvQWR5ln1ROKSScn5s7xjo4u_nKUipFsmEdbnPe2YFbVTs_CfbA97C3Wh-kxLh5tESSOgT0NMnP2bG62drtJno1JjkFMP4GA5V-W5cKcQsH3BRmBW6RWyCLFR_tUcoustJzN6enWtLVu0vrmoHDAWTXo32xWQ1hDwgjyB0ZfWiH5YhzuvEGa7AQifi0MTXN2UDQ9Z40o1jLMIX0YpfPfKWNMQ9kiwBlmCfCAG0hs5Nyaey1XCEHI68Lo4ouSoUxMNYAq8ZwnuBq5i-DlA3vNDlXWBXy0FtJ9q9iB04O-ie-lPjA&__tn__=-R,2020-04-01 09:23:49,https://external.fmnl5-1.fna.fbcdn.net/safe_image.php?d=AQD6cV4bzm6Ntn7V&w=540&h=282&url=https%3A%2F%2Fmedia.philstar.com%2Fphotos%2F2020%2F03%2F31%2Fmanulife-pr2-lead_2020-03-31_09-12-27.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_eui2=AeGihus9w1ZJU6C8GXsA5Emb-GabygFzdr74ZpvKAXN2vvR8lW7YJpVgN5aNNMtuIPZ5VXU0sYKs9_OtTjlHro9-&_nc_hash=AQDVS460Y72gigB7,"{'Total': '482', 'Like': '357', 'Love': '118', 'Wow': '7'}","{'Dianara Bascar Morales': {'text': 'Good news,thanks for my badge.', 'post_date': '1585739122'}, 'Ailyn Matociños': {'text': 'Thank you!❤', 'post_date': '1585824988'}, 'Angel Malaya': {'text': 'Thank you 😊', 'post_date': '1585756196'}, 'Shirly Arnuco Termulo': {'text': 'Thank you po Manulife.', 'post_date': '1586011508'}, 'Al Senedo': {'text': 'Thank you...', 'post_date': '1585826373'}, 'Jocelyn Pedrosa': {'text': 'Thanks manulife', 'post_date': '1585816892'}, 'Cesar Canonoy': {'text': 'Thank you...', 'post_date': '1585745957'}, 'Sheena Requinala': {'text': '😊😍', 'post_date': '1585754281'}, 'Rukia San': {'post_date': '1585812685'}}",730
"Are you working from home? With the Enhanced Community Quarantine in effect, some companies have resorted to this arrangement. And while it may seem challenging, there are ways on how you can actually make telecommuting work for you.  Read on for some helpful tips:",https://web.facebook.com//ManulifePH/posts/3158484860849064?__xts__%5B0%5D=68.ARD8VdordK-xY7AxRqQ5qypVtW9ruDGJ_SSyEuI1M7mKsn0N48KKoszDYDB2Jx2FgA_qDXUSNeUa4n54GQ02QF25XiH02uytb894Lnrh8GOSly07JcAUzBvk3fsvLy5hF9xYGzOtIeaCSAZ_LYL275tIWjETo1bWRm8iLKv3cm-2s2WMhH_6qNkInidiPjVbzgAKfiRsGzCwJNY21fDeNh4gBCRS9PnjuHxndQvn2eRGoBB98mlQhLs9A7OAoNTFL5sQqslWIk0qVVGoV-bxSZjq4pQpIs60_dp_x1cxnq88cxlwLPUTbMjHRI_Creo9sbxw9qdvRdWB0Yc4M-2e5Aiccw&__tn__=-R,2020-03-30 09:06:55,https://scontent.fmnl5-1.fna.fbcdn.net/v/t45.1600-4/cp0/q90/spS444/c0.38.524.274a/p235x350/91150398_23844290951490512_145240619831263232_n.png.jpg?_nc_cat=105&_nc_sid=67cdda&_nc_eui2=AeFnuIkTBbNGQ2-sUwe58m6-BWfm1P1jqz8FZ-bU_WOrPzU1h5fGlo1HQ-Jd9Lq1i85yzy_AJwgDhDXpbthjEjia&_nc_ohc=WoZGjDzT6VIAX8sChhS&_nc_ht=scontent.fmnl5-1.fna&oh=48435ebb4f97a0ad66ca2e4657103551&oe=5EB088F1,"{'Total': '907', 'Like': '809', 'Love': '91', 'Haha': '4'}","{'Diamond Cachero': {'text': 'Cc', 'post_date': '1585917060'}}",343
"As we continue to support the government’s efforts to fight against the spread of COVID-19, ALL BRANCHES nationwide will be closed until the end of the ECQ period.  For your convenience, you may use our digital facilities to manage your policies, make payments, and file claims.  Register to Manulife Online to view your policy details and make premium payments: online.manulife.com.ph  Submit claims electronically by emailing the requirements to PHCustomerCare@manulife.com.  Please note that the list of claims requirements is available on the Manulife Philippines website: www.manulife.com.ph For more information, you may call our Customer Care hotline: (02) 8884-7000 from 9am-3pm, Monday - Friday (except holidays). #ManulifeAdvisory",https://web.facebook.com//ManulifePH/photos/a.220064528024460/3157972710900279/?type=3&__xts__%5B0%5D=68.ARBLtQEMVyh3gszkEtMJ7S7BDrhzrBfMMVnzUwRL5Llkatf0o2dJVbm5yfMioYYcFJ2zLeqoSVwXPM72jZ7S8wHWD7BC0CsUHkKApF9oGq02PTFd-KARFuJNa_x63aImW6kv1LRgtgJw76mbei1p1CnnhDWncho5PqSGE8NAFs7HmdryI7_yRncMpshizsdHisiHMgyDE2EW3u_Sf_SZbBg55aPJjyQAhHsD0TztP-tnjK2PHFdrMikFYxxv-Iwes0008W8qmHRFOMCMcmZgtEtDJM5u9X0mHx3h1zbR2JLMIlCJbARstgxzyiRB83GhmXW8HXn6-cS5QD_hVvsgDrhC9g&__tn__=-R,2020-03-30 02:52:33,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/91399943_3157972720900278_1805824664665063424_o.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_eui2=AeGweZIUwAr2E7V8-qHxtfJWPJLZaOyLOlQ8ktlo7Is6VLZh6Ii_BGb-bLSag1xOQGARNA9zm5IlcP9iLayUPoN7&_nc_ohc=DBEv92xGPEAAX_vlbPO&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=7&oh=3b07b0ad4f3a80ac58745a293e4ef4a0&oe=5EB07A3B,"{'Total': '175', 'Like': '161', 'Love': '14'}",{},132
"Be kind and caring to others, the world needs more of this now, more than ever. Let us be each other's hero. #ManulifeWeekends",https://web.facebook.com//ManulifePH/photos/a.220064528024460/3155121464518737/?type=3&__xts__%5B0%5D=68.ARAK1KoywC5nd2GfvYfP3EclyPCvUDdYdheDajEt3kkykclqTHn5YqRu4d1FmIVcq_MW6ujN2rTxk6Q_qIcNsDVVATdfiqZ3WAjVImxEXeoGQLIo_LnWeHsH02uKZ9fBnWpmASi6lkyZFukkezMChgIXdMkufXBcVf_BF8DdgcCNvOXlflw4P_3tbm2oBbGGoX8eMARl9ljkOOO6RTTdU4ax5FhSax5Ub45ecQXsHGMbWlVYHNYudX9ZWT5og5c47Q6KyBDQjZz7jVyUcF7PR5JCAaKdEjziP8B-xZxXv44zICeqcLVi9ZXlaUf3LLpq4LUp34D-jytXxZplWpWcs-Txjg&__tn__=-R,2020-03-28 23:00:31,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/91138605_3155121471185403_4816417200938156032_o.jpg?_nc_cat=105&_nc_sid=da1649&_nc_eui2=AeH4NjZiu8mXzhIX_r0dnw2oRPzGL9h0XyJE_MYv2HRfIi_hxi0i4FESi_7VPvnnW0vGBo-OP7hdV-boJnSGN9EU&_nc_ohc=koAvCHEDc0IAX9AHRwu&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=7&oh=a4ee2a0b0fc3f21494c8c98504bce761&oe=5EB1C2A0,"{'Total': '396', 'Like': '306', 'Love': '90'}",{},334
