Post,Link,Posting Date,Image,Reactions,Comments,Shares
"With everyone on Enhanced Community Quarantine, churches are celebrating Holy Week online or on TV. There may not be actual processions, holy masses, and other religious rites this year, but you can still practice your faith with your family, safe and healthy.",https://web.facebook.com//fwdlife.ph/photos/a.1484923395117285/2613471815595765/?type=3&__xts__%5B0%5D=68.ARAw8YEZSxXOXhdmj0W1XaVNSTlx6c7ciAgTeULw7DZgL4fR5GRWCg3z99JFvxsp_G3ESZI-v2TtzvOmGlXJ_xvbLl5j3icq4zxcRMiL0XUR2041FHb9P6wwK2_mpn9x7sUNYY6NArIjrCjkFqOHcZvBpd62g5BuryBK0wpLHfFn1MgCtnfUDS7I05bGvj0bv5D_o_I9Wsn8M0LnCTi4xHelc7APhHzwZSg37hYpJgLOjzcIu9w_UW_c7LRO27VosPhToT1RXLt0DPfyaKo6r-oNCncm4uTgvc2KRKUAU7N7nwlmZ0Q6tzmoPoh0Er-Uj62bcPjmYWyb7w9EKJhJIwpnw3DS&__tn__=-R,2020-04-06 05:36:30,,"{'Total': '142', 'Like': '119', 'Love': '23'}","{'Ana Dolindo': {'text': 'Thank you po sa badge', 'post_date': '1586170584'}, 'Zhanelle Julie Zfia': {'text': 'Thank you po sa badge💖💖💖', 'post_date': '1586188171'}}",53
"Holy Week is a time of reflection, repentance, and celebration. Let’s start the week with a grateful heart by thanking those who are on the frontlines. Through FWD's COVID-19 charity drive, proceeds from every purchase of a protection plan will go to protective gear for our fearless healthcare workers.",https://web.facebook.com//fwdlife.ph/photos/a.1491971444412480/2612661939010086/?type=3&__xts__%5B0%5D=68.ARB2JKTEocmnHxPnHqgdGzuVuM2kjCMtWUK3zttbrcRG3G_2XzG-lr2LPCO-9Hb0UbfpcneT2eRVXiM3reQe0xJJcP2ePkmW-xZObD7_hJzMIaR5zLYvY9U8_eJ9FLdRNJ63NnUkXfp_6IEZBerXYi171IZscvkKgavjMmtCSZuqZafaM31gCTT2PmPivwDoKI4HCGO29jatH6JhgbZauDJB1LvFnB64RgG1foNAHvK1I-TVbT28YRiUvLKc7-fyL6BBvlgNR1cjtEfGjqOYmeUNKJi9o7XJV7P4iGyUZyAmu3sVEALee7EiFkD0H_CUXlJweJ7wCi38eOnBi86zZqsMTTsN&__tn__=-R,2020-04-05 03:27:33,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/91809274_2612661942343419_5583740750778073088_n.jpg?_nc_cat=103&_nc_sid=110474&_nc_eui2=AeGH3zCCEBh5nPBFiRc1I2BSoL0KuIwLP8-gvQq4jAs_z2Vxq9CBLNLbZPDbds50z9XaqH8cCR7vdH_C91U8Vdhp&_nc_ohc=CUxlH_fN3roAX9_Hn23&_nc_ht=scontent.fmnl5-1.fna&oh=d0620c0aaa7feafb51757ff2922ba95a&oe=5EAF69A0,"{'Total': '332', 'Like': '239', 'Love': '90', 'Wow': '3'}",{},316
We know you have a lot of questions about our operations during this challenging time. Our Advisories and Updates page will be kept up-to-date with any new developments on our operations while we are on Enhanced Community Quarantine. Click bit.ly/FWDUpdates to visit the page.,https://web.facebook.com//fwdlife.ph/photos/a.1484923395117285/2611290465813900/?type=3&__xts__%5B0%5D=68.ARBYbc4s4y468xVlq7u-MGlBJdBBM3EFi17U7wkmHY-yzSOTJwyhh6q8Ou6Gy2QXOnkVvrhDz4SzBILatJ7_ceDYE2fZXySr1Vp4m-4Coq1ceafWWFzgiW8Girx_hDAoa6g_gadvWRRsHx7EfbBIvN855zznPi8KKWlXhC_pxuNI2QB9j86vXUrBc0paN_Pbnl6ONl-cJYumZipBjLHw5QBfBgcwxU4DHSJ62MV0l0WVCYPFQ2YZP9eJ2xiI94oxt3M6cHUk8tg3v0nBCl0c4BP_E6WB03AvAhp-y50lgvB8Q-wiGpJHR11RFTZLd6om-ntg0zhd44xAtHJyqE58b4xEgc8N&__tn__=-R,2020-04-04 02:00:01,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/91908183_2611290469147233_2929592816029925376_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_eui2=AeFf5V05yeZkWeYuyX4kMJVtPwQsE6zGbT4_BCwTrMZtPkhqYQxXoeMwt5Gh2azR14V8gHgerqKd-7QA_DISRNHg&_nc_ohc=_BPPKvTDudAAX80Q2D3&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=7&oh=4bbb477d42ccd811d14c54d8db9ac54e&oe=5EB10C2C,"{'Total': '151', 'Like': '144', 'Love': '7'}","{'Emmanuel Sang-an': {'text': 'Thank you FWD Life for updates...👍🏻👍🏻👍🏻', 'post_date': '1585988750'}, 'Lhases Langtiw': {'text': 'Panu mag update?', 'post_date': '1585993060'}}",111
"What COVID-19 has taught us is that preparation is key in winning any fight. Even while in quarantine, FWD is enabling you to protect your family by making it easy and convenient for you to purchase and manage your insurance, online. Click bit.ly/FWDPrepareNow to chat with a financial advisor. Remember, when you’re ready, you’re worry-free.",https://web.facebook.com//fwdlife.ph/photos/a.1484923395117285/2611281055814841/?type=3&__xts__%5B0%5D=68.ARCNQnYjBQKtnHhyuwkwTQOHjYoPkiCpjrCOpMYdKtbgEFshzwPPuMCcvrC92_Dhm3_oLWn-I35uFUgUN-L8LySJogvulPvDpUCMF2xm6NpJXduB5ew0OpIogFgKZoIOfhNsJAxMOAIXX-0oQ1du_rtn2Aj9t_TxWRw3diXckQCAZH0hjH_sVhFAKuRCJj2GgWBK5i7sYmTlNFtgbQKzMdqKCf27DdlTt76iFoXKyuH3k0bFP5bEaitKZur9QwsfatagM_16GyzP6GNqmHDmrXpdVthumGNDMabWQxzKhSGBzeX9jUXuGya0RGyHVBveQJgceZROJ2ppwPX5lOa6aJMehEbk&__tn__=-R,2020-04-03 11:15:56,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/91586436_2611281065814840_5693872873412755456_o.png?_nc_cat=104&_nc_sid=8024bb&_nc_eui2=AeEDuw1RqkqvnnICBFE0MmpJjEAUhh05mwSMQBSGHTmbBP60rth9VB2NsZGpYYqU-4YYH3c390GFqO_rhkCanSiV&_nc_ohc=WHwoRgSShcEAX-U-zHH&_nc_ht=scontent.fmnl5-1.fna&oh=d44753311dde2ce0fce6dae3a09603bc&oe=5EB1D0C8,"{'Total': '95', 'Like': '77', 'Love': '18'}","{'Emmanuel Sang-an': {'text': 'Thank you', 'post_date': '1585988768'}}",113
"Get protected from covered critical illness or death due to COVID-19—right from the comforts of your own home. Plus, get rewards like 24/7 unli KonsultaMD access, where you can consult doctors over the phone and unli medical consultations at selected Aventus clinics open during quarantine! Apply online in minutes!👉 bit.ly/FWDShop",https://web.facebook.com//fwdlife.ph/videos/245864679885198/?__xts__%5B0%5D=68.ARBh1f-Lbj1htWX7YB8es_sSi2kY8-uHZbDtkgIQpKemVj21D_4KMwdYomVeM5Fms7g1-Is0viDliyuah88EfZYzGlpjpyt9ykwRib_HShXMsRyBbfgf0XThBAronFJdmoS2nweGPOvvaACHST1fz4LZqf4Oga2oODQPapoNZph2LiRyRCZEv6PYYTRTy1eV05HuDorFuTGfbxQcDXCJ6OupUKD4Lne001wryvdbHfdhe46474sunev8jw8is8NVVYESgOAcDhIHtSioSC3HfOKpn52yCjidl7EEWIGw_xWy_9NMjaYSTNU0yU0gh6EF47mh93PAZU6TJB2hMw5b9BgftYv2CAjxYwhkUDpYKbqObHRTauulNnxYFU_h&__tn__=-R,2020-04-02 04:40:08,,"{'Total': '55', 'Like': '44', 'Love': '11'}",{},61
"In view of the Enhanced Community Quarantine in Luzon and Cebu City, our FWD business hubs in Metro Manila, Luzon, Cebu, Davao, and Bukidnon are temporarily closed. Our business hub in Cagayan de Oro is still open, Monday to Friday, 10 am to 3 pm to serve walk-in clients. You can still reach us via our 24/7 LiveChat at fwd.com.ph and FWD Tapp, on Facebook, or thru your FWD financial advisor.",https://web.facebook.com//fwdlife.ph/photos/a.1484923395117285/2608750832734530/?type=3&__xts__%5B0%5D=68.ARDQ8mB-KedJZmCXeiWac8oRdHnRm2nQzclvA7uTeZG1d7eGFOlCOKq3SaC0AICfkkyKJfzvE32oCDc6FS_w1GpYabk1UY6JxBEa1RU4OoiFxAYgWNfLMvuBVxK6LNUZPTHWIVHkeTPdFHqnc09hqr02jiA5VXVS4wTzikfpxmU1FykI8QypxQ4bTaTdQcQCILKjH0R_213zlFVQl7N347pIkNkIGBcB_pkxRIiFwxL8TDVCEHLFS2LjNNZaVnwlzjfrNCxD6RngqLpAnPTmA-qu47EBdJWRTPSzVtzrRUPH0dZC0sHz8BQQ5ukbeOZbWLQxVSW-bIvWU-mXa4zfB4OpOhBQ&__tn__=-R,2020-03-31 06:37:58,,"{'Total': '80', 'Like': '78', 'Love': '2'}","{'Miaflor Cirky': {'text': 'And you really charge me! How selfish is your company same with your affiliated security bank who stopped releasing loans due to Covid19 Crisis? Makasarili!', 'post_date': '1585902389'}}",18
We salute the hard work and sacrifice of the FWD-MCX team members who continue to serve motorists 24/7 amid the Enhanced Community Quarantine. These brave men and women are risking their lives to make sure healthcare workers and frontliners reach their destinations safely. FWD-MCX will continue operations to ensure safe delivery of goods and service during these trying times. #FWDMCX #RoadToProgress #GetReadyToLive,https://web.facebook.com//fwdlife.ph/videos/609280043260922/?__xts__%5B0%5D=68.ARALM8EpZXQzphI2S2tEvvb_215Q5DmUuQSWrK-pNvhc3Xv6NjgtP1psTUbrn4uStXLAZqhlo5dpUdzOMRbKDBKGHbfDvMsoZZMuY39UYRIcbbsr3NdZvpFs9WimfVm530qjlCbx9605rIzuTyVoaapI3W1ueQNN8Ju7JqfsMMyY6rGYmM-vd2rH4ip8zy0v3Dpgk0Mn80Jlj4H2JaidWR9gENN1wW50iOYkVEW9z2Hgsiaa8Uk8O_rluAQoW9yVm0ccZtzytHyKIKGrwyyf_o8yS9UhJrtGdy1eO0Vwm0Ot_gsph5_V7N60_J_a_V2ubq4Y8jf3UcEX3y1Ogf6r_kpszeYdqoallD1PgeXi&__tn__=-R,2020-03-26 02:30:40,,"{'Total': '121', 'Like': '102', 'Love': '19'}","{'Joel Ronquillo': {'text': 'thank you', 'post_date': '1585337546'}, 'Emmanuel Sang-an': {'text': 'Thank you  frontliners👍🏻👍🏻👍🏻👍🏻GodBless', 'post_date': '1585988837'}}",55
"To all the COVID-19 healthcare workers and frontliners who are helping everyone and the whole country get through the pandemic, to those who still go to work so that others can be with their families, to those who continue to show kindness in this time of uncertainty, thank you. We salute you for your hard work, dedication, and sacrifice. Stay safe and stay healthy!",https://web.facebook.com//fwdlife.ph/photos/a.1484923395117285/2602632570013023/?type=3&__xts__%5B0%5D=68.ARBmI4wOnQPGeCh9M2YbVyhewm_bBFqeiOK8nydQg3yql4uMPU_C7_HZPAvucXtNt-0kXi9ftQ5-ifmC8EFEcg3NG9wW8IM4Xs-OTmusyo7kSAQbianJF9EkcFxWoO7R9HwUEAi7Nepf7bPMy2FpcbaPSUdE73AwskpDY2kekBFuu46jBP97szfRgLbnPlpLAyJ8S0jK0jo9TW-vB3hu7exobWUgtTBQbKGUv9bOU64VVA8U8n8VPHsBKDWQEjVz4yUd15Lalf4Gh8r4rcVSypXmA_XXxzSk5Do0NYv2_cE7RCjtYiUONVygE4eAsKu0lBVl4Or_p6owRzr9KDeAhr31EUD5&__tn__=-R,2020-03-24 10:00:01,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/p720x720/90356842_2602632573346356_5735427833052790784_o.png?_nc_cat=106&_nc_sid=8024bb&_nc_eui2=AeGyFeu7M6BLA9CUgM00RF9GJ62CYyKnltUnrYJjIqeW1fAd-XsZlBMTdAP-DjVZU4OHha7g17VlkNn4zIP_0Ju_&_nc_ohc=nLI48Cqg-EQAX9iOjS9&_nc_ht=scontent.fmnl5-1.fna&oh=a3e74bffe474dc5f419bdbf759b1804e&oe=5EB1955E,"{'Total': '315', 'Like': '234', 'Love': '81'}","{'Eve Samson Duhay Clavano': {'text': 'Heavenly Father God blesses you all ! We salute you frontliners !', 'post_date': '1585058682'}, 'Laine Lemeric': {'text': 'Salute ❤', 'post_date': '1585095513'}, 'Maribeth M. Salazar': {'text': 'Salute !!!', 'post_date': '1585048019'}, 'Rogie V Bertol': {'text': '🧡', 'image': 'https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/90715367_10207263686748587_2767548737948483584_n.jpg?_nc_cat=105&_nc_sid=dbeb18&_nc_eui2=AeFWFuSEXbOpKuIRmu-PvXnP1YPaolMtC33Vg9qiUy0LfV6dYNfjKZ23_v2DwxjzX9zCfxI3o9stdr9QtppcTIqm&_nc_ohc=s8nLSnCTPFUAX9FeWq-&_nc_ht=scontent.fmnl5-1.fna&oh=5f05d130567b35308121aab593e1ce07&oe=5EB05611', 'post_date': '1585046732'}, 'Oayaddis Gnob': {'post_date': '1585047456'}, 'Dexter Angeles': {'text': 'Lord Heal our land ♥️🙏', 'post_date': '1585128559'}, 'Ru Chelle': {'text': '🙏🙏🙏', 'post_date': '1585159456'}, 'Rman Tongol': {'text': 'I wanna ask something really important.is this legit insurance? Coz my frend got debited amounting P3,500 even though she cancelled it prior march 23,2020. Also hee due date is on march 30,2020. I need an answer!  Thanks!', 'post_date': '1585145029'}}",233
Advisory: Here's how we are processing your investment transactions after the reopening of the equities and fixed income markets.,https://web.facebook.com//fwdlife.ph/photos/a.1484923395117285/2601725206770426/?type=3&__xts__%5B0%5D=68.ARCXW0ho3Ahd9ylt9oigYK3WmrJ4HpBDP_rHyL4F_bxfRCRgbQVV4ZvlHeOhs34erFur1gNXIKC57GYRwRTcOWCqpbYX4CHhTaWcQFbVO2-yUzJSX_tzRRHwa0FdBoXwLQ_5IpnFnDNk_xjmtW0RBDOO63KxRlQHAFYrcp7cGfxF0PpB-hGWgth-tg3_jBY1aXlXTPIQnup4MaA-0yftEPLUYpbLiA8RLjx11Qse27xOMKgxYjUMQ3qmrUsyRu2Ei8iy7482x8-rhTJ8q7rHQcNiolC8gWei4bcy4VLNiUqbrqZELDMF9eDwfK4ZcpUjTV0YjmmanI7KAGFKOyGhZDqUCcMv&__tn__=-R,2020-03-23 03:12:09,https://scontent.fmnl5-1.fna.fbcdn.net/v/l/t1.0-9/s1080x2048/90171721_2601725213437092_3543198494208557056_o.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_eui2=AeHRZIbuUwCMvn5meIu0-fhHVUT1M6h4oqxVRPUzqHiirDVFFR97fju0lBIeB3EoGuLCOOMMhppMfcpqDhnHTiwM&_nc_ohc=DvGTdj46oMYAX-t62aE&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=7&oh=be5d9db610b4b9db57a93b616ce90471&oe=5EB2B641,"{'Total': '160', 'Like': '139', 'Love': '21'}",{},70
"Because your safety and convenience are important to us, we are extending your grace period to 60 days and if diagnosed with COVID-19 to 90 days. These are for plans with due dates from March 9 to April 15. In addition, no more deadline for the submission of claim documents and we're accepting digital copies of claim requirements. For further support, please reach out to us at 24/7 Live Chat via fwd.com.ph or thru our mobile app, FWD Tapp.",https://web.facebook.com//fwdlife.ph/photos/a.1491971444412480/2599446113665002/?type=3&__xts__%5B0%5D=68.ARDP5MPOK7zHJayg20aOJMnli3QuP8SmYjLL5wlWSG5v5_BPF0NSqI9d8Ifjge8f6M77bxoMbteCA9zMGO36S-FKJqBMcWUhOS7gOduWwlp6iR0x-KXIPzd6fE_G_NW_hoiJzktIznRpB0Cr03Fgx8zEj_7Y34huXF0jA1rFK9H698qKk8NzXSuwu8Z6vZrsnbNlmy9TYDvPYF1AzXr_2wqJiB_2KpSukhZKIb355-yEsf34dzY3pRZksrZHdzBc-YwGLWw0OGBhr4KcLVSjPgNKEuOu7f5vrPk5s6a-wpGTJSi51UjxPQjUfhUaVxqEgS_SSaGuhQnA8QnW8SOlLdXewuiX&__tn__=-R,2020-03-20 13:19:46,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/90298600_2599446116998335_6178448426825416704_o.jpg?_nc_cat=105&_nc_sid=110474&_nc_eui2=AeFXSmUv5aaAIL-0jRTfwnr0vrfST2FkO5i-t9JPYWQ7mA9ibAQ6_E8q2eWJ3qmAqb-PiJdTFS3VgGBz2Y4rKqD1&_nc_ohc=KpaIqgAnvc8AX-cqD-v&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=7&oh=66576c8c9013c758d2792ec284c26bb3&oe=5EB27013,"{'Total': '235', 'Like': '192', 'Love': '39', 'Wow': '3'}","{'Molly Claire': {'text': 'I got deducted for my premium due March 19th. Guess this does not automatically apply to all?', 'post_date': '1584843751'}, 'Ninno Rabano': {'text': 'Thanks for fwd life Philippines for being part us family,my due us dis coming month,and I hope u understand upon the situation coz the covid 19.tnx fwd, God bless 🙏🙏🙏 us all,take care', 'post_date': '1584874596'}}",145
