Post,Link,Posting Date,Image,Reactions,Comments,Shares
,https://web.facebook.com//notes/pru-life-uk-official/message-from-the-ceo-we-do-protection-in-times-of-covid-19/2826612154072819/?__xts__%5B0%5D=68.ARA9IfZc0ukiaGTKYKo7tmYXOTB7dRLs_Ut4V0hjLMEf-hWm7WWrneGl1mtOaDTLzqztJJWkYyng5EA4QsdtGp_71b35Qrhml32Rxfp5_B0MO3sRj03Y737tCkd0hndxaSicLpTMZ0t_JoxrHGDDL7a9p3GjL2vA8SX35FKpE-6-l_bMiTYxY2rgcU3Uihdhkt6h4uzERj2Y4gmXfKpz7yPxJ6Fci5-l717u3s37zJeom1BxgXb0y2L7RQuFcqfN52PUC7r6Ivr6vezMg2kJ4AnMU-mXsL4dqbqNlNyeMJ_gijEowAhZjyu_mW3D2KM9A9ILqhHkAgXKDiuBA7J2OHgm&__tn__=-R,2020-03-18 12:33:05,,"{'Total': '655', 'Like': '475', 'Love': '177', 'Wow': '2'}","{'Ana Kwek - Pañares': {'text': ""I was auto-debited. Very disappointed. I guess it's true that crisis brings out the good in people and corporations. 😡 Melo Alvarado Rae Remo"", 'post_date': '1585117384'}, 'Doris Peligrino': {'text': 'VERY DISAPPOINTED WITH THE SERVICE!I kept on following up my request before LOCKDOWN PA.…See More', 'post_date': '1585544424'}, 'Vin Resurreccion': {'text': 'i was on auto payment too and they deducted it twice? instead of 3k they deducted 6k? why prulife tsk!', 'post_date': '1585731459'}, 'Leni Lee HO': {'text': 'I would like to thank Pru-Life UK... Because of the gift check prize  i got on their health is wealth challenge..I used the gc on purchasing my  home  necessities before our place was lockdown.. For safety from covid19... At wala po akong pera.. Hetong gc po ay napakalaking tulong   sa aming pangangailangan.. Maraming salamat  po..', 'post_date': '1585548450'}, 'Benj Quilar Salise': {'text': 'May pera sa bank acct ko where they automatically deduct payments but im reserving the money for emergencies. How to remove auto debit from my prulife?', 'post_date': '1584586254'}, 'Janice Iraola Febrin': {'text': ""Hi! My concern haven't been addressed since last year."", 'post_date': '1585107941'}, 'Hmua Jimm Go': {'text': 'Marami ng comment sa inyo about deduction. Sana umaksyon kayo para di na dumami ang ang nagrireklamo may covid po tayong kinakaharap babawasan nyo pa kami. You guys just deducted from my bank account. Im saving it for this crisis.', 'post_date': '1585116869'}, 'Ruby L. Miranda': {'text': 'Nice to hear positive news from Prulife uk in these times of crises♥️Prulife uk 👏', 'post_date': '1584593407'}, 'Marbs Romero': {'text': 'Premium period extended for 30days? What happens if one enrolled in your ADA facility?', 'post_date': '1584748418'}, 'Vince Banzon': {'text': 'Stay at home and keep safe! This shall pass.', 'post_date': '1584581340'}, 'Fely Elloso': {'text': 'Oh i see prudencial  pru  is the insurance  company CEO.19.119  Who person  leading  this company  my documentary policy ownner felt', 'post_date': '1584797808'}, 'Ian Arcayos': {'text': 'Keep safe everyone 🙏🏻', 'post_date': '1584573677'}, 'Scarlett Susada - Preagola': {'text': 'Thank you Pru😍', 'post_date': '1584590627'}, 'Lee Alua Ambat': {'text': 'Covered din po sa Prulife 😘', 'post_date': '1584541641'}, 'Mariane': {'text': '🙏🙏🙏', 'post_date': '1585936739'}, 'Madelaine Lacson': {'text': ""I was auto debited as well. So disappointing. It's my payroll account, of course I wouldn't let it go below maintaining. You should have mentioned that in your memo. In tagalog para mas tumatak: ANG GAHAMAN NYO PALA TALAGA."", 'post_date': '1585210467'}}",648
"What is the Pulse Healthcheck? Healthcheck will help you know yourself better by answering a series of questions. Afterwards, a 3D view of your body will be generated based on your answers. You can now visualize your health with your very own DIGITAL TWIN and help you discover detailed insights into your current health and also help you improve your lifestyle. Learn more about yourself. Download Pulse now for FREE on Google Play Store or Apple App Store: https://wedopulseph.page.link/5dT1",https://web.facebook.com//prulifeukofficial/videos/673745783439282/?__xts__%5B0%5D=68.ARByVuyrY-ysGK-cO0d28p8xxi8Ba8nMvv_utaXpBL1DVLlQwJQOkdli116IJiSZuiwu2UfYB7Q8Vor48bbgNKJG4CQeMTZAcDMlitl23euzCnUgiMyqV2iNyxkXC8jMQSDscdXY3DOXApImWXphPlQXiuNbZH206rNA-S7WQUAvVYyTxNvSrTNT8ZNfCqFlG9ZqGZmd2CcG4ALzL6TtLiSteDGI4Y_8tQK27bAhb_ugPR4t69YYEZHQbx_Pw9ENou0crDwLmnYuj9wlJtCwg5_NN0RJqokX70BTzEGgi31tcBZFfrOCo8QCQfnf-xo-9FJHd_NcQZA1CEgnsf8ZwlDmuWJSIfRRYDq2eA&__tn__=-R,2020-04-06 10:00:00,,"{'Total': '56', 'Like': '40', 'Love': '16'}","{'Eduard Flores': {'text': 'This is great!', 'post_date': '1586216627'}, 'Your Mom From The Pru By Mommy Dai': {'text': '❤️❤️❤️', 'post_date': '1586207949'}, 'Neil Daniels Villanueva': {'text': 'thanks', 'post_date': '1586184272'}, 'Jobs Martin': {'text': '❤️', 'post_date': '1586167720'}, 'Jemma Grace E': {'text': '💖', 'post_date': '1586188099'}}",48
What can you do with Pulse? Pulse will help you play an active role in managing your personal health and wellbeing. Looking to track your overall health and fitness? Get the right health tips through the Healthcheck. Feeling under the weather? Check your symptoms with the Symptom Checker. All this and more with Pulse. Download it now for FREE on Google Play Store or Apple App Store: https://wedopulseph.page.link/5dT1,https://web.facebook.com//prulifeukofficial/photos/a.414790448588347/2861117973955570/?type=3&__xts__%5B0%5D=68.ARAXj2hNnj17v7mK-t5Tau1IeNcVSoyP8UCo4O8YeeoN1E2u95yGdZ2LkJCx3C1PpJ-l98QPimoTmAWw5PLPaUKDdm4lxKZA13ag6vpRbyFEmN-yz16Tsy8RfQmdDyQVoeHIFyDRajMl_Tdp98NA9bGa7DqCCgbrRf9VkZa9YqHMh7pLaiS3oo4Sgm5zPvqWNxhr6EMu6LpLwhQh99M1yfwc0yzYQAPs0OSykD7qZ9MHvtoRFa6ye182JeJP6xaqBATGz-OJGC6c8y_Hw8bVZrSD6feptbo2eTAzuUfJWc9igjohVxAhIXfnA0H5KdbXXeP3cU84Gr7-0wmFCJItthuzBg&__tn__=-R,2020-04-03 10:03:42,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/91086331_2861117977288903_3489068763679031296_n.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_eui2=AeGxSkWPWF-9zchga9C9juSAtaeK4QE75w61p4rhATvnDpSHE56NRxKTeKKb30ZBz6KGrPX64ZvsfwKxLh1Rb7Ke&_nc_ohc=o9A9UBN65m8AX_S26BE&_nc_ht=scontent.fmnl5-1.fna&oh=e761b9345b68544ddce0995ecad880e4&oe=5EB0693A,"{'Total': '186', 'Like': '140', 'Love': '44', 'Wow': '2'}","{'Champ Martin': {'text': '❤️❤️❤️', 'post_date': '1586036509'}, 'Red M Tiamson': {'text': '👍👍👍', 'post_date': '1586093762'}}",176
"Pru Life UK has further extended the 60-day grace period to cover premium payments due from February 16 to June 30, 2020 to ensure continued coverage for our customers.  You may review and manage your policies via our customer portal PRUAccess at https://pruaccess.prulifeuk.com.ph/ or contact our PRU Customer Action team at contact.us@prulifeuk.com.ph for more information and assistance. We continue to assess and release more timely announcements as the local authorities implement further measures and guidelines.",https://web.facebook.com//prulifeukofficial/photos/a.414790448588347/2860870303980337/?type=3&__xts__%5B0%5D=68.ARCMPXA6C5iez01d4PhHDy0AxCTBhIivJ4U2Lxyer3GscFJ32YccPKK2X52HK_r0X8GSbYKO47OQ4VWlsM976gSiNb61AAOfLEjI6DThQWITZAEccZHCu4LsfW4juSGuKUOsYoQ3IZxJc8Ox2OYbckQAWA7768mU1k_7pqcZtLw1-GxON9tUybxp2o5ZmM6olHESmde959aAh0uocN6mB8PsHSt2hfgnvpzgGNCunmf5Fj3UuNrmxOL_fow2bGpatp44asFYVNTzPh5Iv1t9q3PBBzALh766zG0exflABTmbMwx0879yMphEWzSfk5-seNoc0HwEVDQv2_hzPO0clTTF7g&__tn__=-R,2020-04-03 06:50:19,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/91444632_2860870307313670_1778286047327682560_n.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_eui2=AeGIXOGZsReQ3h16CGAfE1IeZzfCOWVJW2FnN8I5ZUlbYd6kg4jAe273CwpCNBME-gyFuB9qPrMvbi4hbUwvZUNE&_nc_ohc=XaFJMcQYQV0AX80-1Ue&_nc_ht=scontent.fmnl5-1.fna&oh=8b7806075c8255abdb18fed21f84d536&oe=5EB150EA,"{'Total': '939', 'Like': '663', 'Love': '247', 'Wow': '27'}","{'Marbs Romero': {'text': ""Please make sure that you state that this is applicable only for those that doesn't have enough balance on their account.  If one is on ADA or credit card - so long as there is enough balance, payment is still charged.  Thanks!"", 'post_date': '1585897205'}, 'Jennifer Peng Navarrete': {'text': 'In my understanding, correct me if im wrong, the ADA is an instruction to the bank to pay another institution. Hanggat hindi binabawi un, magkakaltas ung bank kasi binigyan ng authority na gawin un.  So i think, you need to inform your bank to suspend the ADA. Its not like PruLife instructed the banks to continue the ADA because they are not in authority to do that.', 'post_date': '1585908507'}, 'Paul Michael Cua Lim': {'text': 'Actually nka pag deposit nrin po ako sa account ko for the month of april, ano po eto ma auto debit po parin ba eto?Pls answer me po! Ty!', 'post_date': '1585901221'}, 'Mary Grace Bimbo Valmadrid': {'text': 'Hi my due date is on may 10. It means im cover of 60 days grace period? Thank you', 'post_date': '1585942340'}, 'Joderick Gonzales': {'text': ""You've charged me doubled last March! Upon checking with my BPI Account, I was deducted ng 2 months tapos, instead of I return kasi kayo naman nagkamali why you still put it as payment to my supposedly April 29 due date. I don't get it why so unconsiderate."", 'post_date': '1586186693'}, 'She Dizon Timbol': {'text': 'Meaning no auto debit?  Thanks', 'post_date': '1585897280'}, 'Jennica Cruz': {'text': 'Ngdebit dn sa account ko last march 22', 'post_date': '1585901294'}, 'Jay-r Qui': {'text': 'Be considerate naman Prulife..alam nyo naman sitwasyon halos lahat wlaang trabaho peeo nag autodebit pa rin kayo....anu to mas uunahin namin bayaran ang insurance kesa kakainin namin....#BeConsiderate', 'post_date': '1585898080'}, 'Jen Boncato': {'text': 'Na debit na din ako. Dapat included din un mga naka ADA hindi lang un naka cash payments. Sana naging considerate kayo para sa lahat.', 'post_date': '1585909882'}, 'Jozel Yhen': {'text': ""that'ts ridiculous announcement, that's not applicable to all especially for those client enrolled for ADA if u have enough fund to cover ur payment they automatically get it. unlike banks if they announced with 60days grace period they mean it."", 'post_date': '1585908431'}, 'Angie Eunice Lacuesta Bayani - Caceres': {'text': ""If ever we won't be able to pay premiums from April - June. Will you force us to pay all arrears by July? Meaning we need to pay 4 months worth of premium paymence all at the same time?"", 'post_date': '1585981048'}, 'Bhella Gutierrez': {'text': 'But I just got debited in my bpi credit card 🙄 you should include those ADA.', 'post_date': '1585903858'}, 'Jha Na': {'text': 'thank you. Proud to be pru client.', 'post_date': '1585898763'}, 'Daisy Fuedan': {'text': 'Please continue my ADA arrangement ! Do not delay', 'post_date': '1585910804'}, 'Palabra De Honot': {'text': 'Proud to be Pru client.Keep up the good job Pru.', 'post_date': '1585897512'}, 'Charisma Evangelista': {'text': 'Hello prulife! May i send a private message?', 'post_date': '1586159283'}, 'Neeloral Sid Ambasing': {'text': 'Thank you Prulife...', 'post_date': '1585921765'}, 'Jy Agustin Butchayo': {'text': 'walang konsiderasyon,ng kaltas parin sila sa account kahit na my krisis need ng panggastos..', 'post_date': '1585898639'}, 'Fely Elloso': {'text': 'Credit  Who.  Meaning of so long  yes  do long  history', 'post_date': '1585933646'}, 'Yana Del Carmen': {'text': 'Sana man lang hindi muna kayo nag auto debit. Yung mga basic utilities and credit card companies nga nagextend, bakit kayo hindi magextend? Sana maging considerate naman kayo. Mas need namin magsave ng money lalo na ngayon sa panahon ng crisis.', 'post_date': '1585901926'}, 'Joel Mangahis': {'text': 'Im on auto-debit paano un? I already paid ung March but I want April not be charged.', 'post_date': '1585910358'}, 'Raziel Realin': {'text': 'Great. Sana implemented nang tama.', 'post_date': '1585898158'}, 'Amy Batuhan': {'text': 'You debited my card nu. Gulat na gulat nga ako. Extension kayo dyan🙄', 'post_date': '1585912696'}, 'Neil Daniels Villanueva': {'text': 'oh pay it early in GCash', 'post_date': '1585909861'}, 'Glieza Soriano Lomboy': {'text': 'nagauto debit napo kayo sa acct namin', 'post_date': '1585897407'}, 'Marie Fernando': {'text': 'Ng debit parin sa acct ko last march 25,.', 'post_date': '1585900008'}, 'Ed Sitjar': {'text': 'Pero kinakaltasan nyu parin ako dahil naka auto deduct daw sa account ko :(', 'post_date': '1585898057'}, 'Raymond S Juan': {'text': 'Thank you Prulife ako nga gus2 ko na magbayad para diko na sya po problemahin sa susunod na buwan.', 'post_date': '1585909401'}, 'Myra Rapas': {'text': 'Madame Agnes Indolos Tagalog wala gyud miiban 😛', 'post_date': '1585899641'}, 'Apple Amar Samson': {'text': 'Pa Rosandel Suelila Policarpio may grace period check mo yun account mo.', 'post_date': '1585901786'}, 'Contessaivyabas Arcenal': {'text': 'Eisa Tophe Tillah Arcinas Louice Velayo Leamsi Dolor L. Molina Jaja V Solis  db may puso si pru so kipsafe my loves💖💖💖💖💖', 'post_date': '1585912605'}, 'Joel Jane Linatoc': {'text': 'This is not true, kanina lang dhil kinaltasan na agad ako sa account ko, sana naman maging considerate kayo sa lahat', 'post_date': '1585897581'}, 'Rosandel Suelila Policarpio': {'text': 'Yun oh.. Thanks.. Wala pa kasi ako panghulog.. 😘😘😘😘😁', 'post_date': '1585904168'}, 'Febs Ignacio Dizon': {'text': 'Hindi naman totoo yan..na auto debit ako nung march 20 😰😋', 'post_date': '1585904486'}, 'Ackie Quiambao': {'text': 'Paano makikita magkano na naihulog ko.', 'post_date': '1586156329'}, 'Brigitte Panganiban': {'text': 'Julie Ann M Dzurcesto ksama bko dto puede wala muna premiums ko sa june?', 'post_date': '1585905706'}, 'Jeane Tubog': {'text': 'Thank you so much PruLife Uk', 'post_date': '1585904859'}, 'Manny John Hinder Gonzaga': {'text': 'Proud to be pru client, nkakaraos dn tau.', 'post_date': '1585904535'}, 'Honey Rose Miguel': {'text': 'But hindi sya applicable pag nka auto debit. Nacharge parin ako for March and I want April not be charged kahit sa isang insurance ko lang sana.', 'post_date': '1585915095'}, 'Nyx Del Luna': {'text': 'Salamat Pru Life! 😊', 'post_date': '1585915922'}, 'Melyn Lofranco': {'text': 'thank you po!!!', 'post_date': '1585907753'}, 'Anna Mari Manaytay': {'text': 'Thank you!!', 'post_date': '1585906052'}, 'Juderial O. Glenz': {'text': 'Thanks prulife', 'post_date': '1585905546'}, 'Geodz Tabudlo': {'text': 'Karen Balasan-Austria thank God', 'post_date': '1585905080'}, 'Ynohtna Jimena Ombao': {'text': 'Thank you po', 'post_date': '1585904840'}, 'Chona Sison Rocolcol': {'text': 'Thanks 😊', 'post_date': '1585903357'}, 'Kim Neri': {'text': 'thankyouuuu', 'post_date': '1585900227'}, 'สมชาย บุญภักดี': {'text': 'So good so love [?]', 'post_date': '1585899846'}, 'Nova Allauigan': {'text': 'Thanks pru life', 'post_date': '1585899837'}, 'Maricar Chulvo Valenzuela': {'text': 'Nag auto debit na po this month 😔', 'post_date': '1585899667'}, 'Jennifer Delos Santos Galan': {'text': 'Jennifer Rellin Zapata applicable ba to sa akin sis? thank you..', 'post_date': '1585899322'}}",622
"Introducing your new partner in preventing, postponing, and protecting yourself against the onset of diseases. Pulse is the first-of-its-kind health app that provides 24/7 real-time health information. #WeDoHealth Download it now for FREE on Google Play Store or Apple App Store: https://wedopulseph.page.link/5dT1",https://web.facebook.com//prulifeukofficial/videos/1148663338819575/?__xts__%5B0%5D=68.ARBQPfIqW3SQkEtN560agR2uxPa4XUMSjIG71_cH6p30-RgYSjsslcOHMktiT0tHF8EcvnE34-rtc_ugLMjKnZrvOitWan1rgimqtDaqdQU1Eb0RSB60iaBdFc0xe3FO-axVqdmrtt2yz1e10LhTSftPSCgYQZGhjf4g9ET2aSbbNUBmZAkUgNsEazMSsQu6kV_77ZXymgmwr4mktxzdN-t1ep1QB6B5ahJL564DJR_N6sX9PP3ZgvFTBDdGN07fIAE9QngZzcELZoVYOlQqcKngZKKK_X1izhKoX0tLl8nCHUeIIPTno0YXYNhZnMUVyxU9rVu6_Bi1iyc9RK-aiOC3_3SnNOMxOvskFA&__tn__=-R,2020-04-01 10:00:00,,"{'Total': '99', 'Like': '60', 'Love': '37', 'Wow': '2'}","{'Connie Calot': {'text': 'hightech!! 😊', 'post_date': '1585896400'}, 'Rhea de Asis': {'text': 'Sobrang galing!', 'post_date': '1585904864'}}",159
"Maintaining a healthy lifestyle doesn’t have to dig a hole in your pocket and being stuck at home shouldn't stop you from working out either. Use your creativity and explore DIY workouts that can best fit your lifestyle and help achieve your goal. Use the many free workout resources—workout website, fitness apps, even social media accounts—to maximize results while minimizing your expenses. #WeDoWealth",https://web.facebook.com//prulifeukofficial/photos/a.414790448588347/2839328509467850/?type=3&__xts__%5B0%5D=68.ARBbKnnCXTgmKc5ya6X0GGiOPM2x5Evy08mnlI6Kxm3gLfs1VzJZbUfKpgmOuUVlgwJsxmu8UcjZBUN5lyS0qbyzhGGSI_ADIKO85DNChipLYY2aita9kRzsXdTQfMBi-IMQ1Z15SyYPVeDsRo5KrMgSUuZmuOsrMLTBhxgJSZL6EemiKDCx7gvRQl_Kh9Ska04jyr6V-fwtw4hOEa10AjN4qAStuKWWyUFPIxrDLkbLQMeJoRhn8EFtBZYEU6d37qyESEweQeP2DJ0Q33asCpOu9TxFfGOR5JWJXWTcFwmuWIUE4JVxYYW-XC5ZAD5r24fqtm6y9BCt_bEfYgY-Xq5CDw&__tn__=-R,2020-03-31 10:41:37,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/90545387_2839328512801183_9051321831729922048_o.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_eui2=AeFDEKrEPI8iA2xznEA5X_DbW6ZqzMU-wqJbpmrMxT7CoszK7wCf4eW5KZDgGAhmnY6SNkHNt4saEOe_cFOaN27F&_nc_ohc=h-R0TJuNr9QAX93d-wA&_nc_ht=scontent.fmnl5-1.fna&oh=5fb59a0f0b61e1ad5d8525da484645f1&oe=5EB2E99B,"{'Total': '321', 'Like': '252', 'Love': '68', 'Wow': '1'}",{},226
Be equipped with these #SAFESTEPS to prevent the spread of COVID-19! Download the free safety card in English and Filipino here: https://www.safesteps.com/main/covid-19,https://web.facebook.com//prulifeukofficial/posts/2852687691465265?__xts__%5B0%5D=68.ARBh-UabXiu6EU_qciLXdANca1uegiafqu6lmA7tMuffi-KK0MMeQyLgDyPITN7XFne_YZyd6KAGH4o4KRZl2x3WvQ3SEuOycegUqJ5ppZXcwJTocsC5wH8XDWoWLJGL2epwPN7qrax8F89Xwa9uO-oZmnCfNo1dy3L0429tuGqznFuJmM_y6g3E_eY9008EENOS6CoZKhrmkZjN_1cq0xcWFW6ie-dLY6H_hXBYxifbJ8CaXiOW6FW5MJE9QF5h2u3M4cXKKOx-3xDtIiC8cKzj4YbYX50UZKQ4xzx_Gu1rh4RbuMPvEblxuhIK85i0XvyDfsHoGNWN-Mb7t16VcHop4A&__tn__=-R,2020-03-30 10:08:01,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-0/p526x296/91522343_2852686214798746_8931104180991426560_o.png?_nc_cat=108&_nc_sid=8024bb&_nc_eui2=AeEgZPwuqSu2-bdyjawByaXjtcADEh5kGoe1wAMSHmQahx-jWjc8SUFpkZzepWQdnLUjDYzV8DRQX4VwLXGQMa-w&_nc_ohc=x9pg3MTJtGoAX8869Fz&_nc_ht=scontent.fmnl5-1.fna&oh=e1c20e6ece3d1a2b4d24682141753eb6&oe=5EB0DB4E,"{'Total': '149', 'Like': '122', 'Love': '25', 'Haha': '1'}",{},188
"[UPDATE] Effective March 30, 2020, all Pru Life UK business centers nationwide will temporarily cease operations until further notice.",https://web.facebook.com//prulifeukofficial/posts/2852003811533653?__xts__%5B0%5D=68.ARAH-Y2I2HduFMHyL6DXCO0VEwJ5dyeV5OGT_tzns0K1InTj79z9nLJrb90L_eoSH524g2kFYK2wqT-JExSr5UYzT6rnkF4zpCQYGaczr69SdwDf7D3FA3KF_f8DPZBoMIEN7zdYwOQaO4ansRpAlweKsGV6Oi6y0L3ieCxg3s0f-RXSDntoy4fT50FyS5vvr_vJEvpnm0_xr_96ugxMmxXWrHrAm8lq4IwEU9oYBnBgHTGXf8lWwWU_EmjuCzC9sYQocACXGmRuRkkmrm5xlI5QUeY6O9TFvPGiuWgwKSGIKEloFAKatBqd2--JITR9xyl3IsruT_ujXMoVIGzRlx2nM0zmwaSQ4pm7L8IAuipxdMO2j-ZbE79TIR68EohVK1Iyh9s-PtYg0dtnA_UDGOOmbVy9rB9ch_UoTb6PPilfVurP6jMrR10wgVVz5EIdw1_enT00w_f5chF3rj7ij68FOlQPwFN7voJNkm06Rmkl1OgdOGTHlfU&__tn__=-R,2020-03-30 01:11:46,,"{'Total': '140', 'Like': '129', 'Love': '5', 'Sad': '5'}","{'Blessing Grace Pon Polinar': {'text': 'Hi, I would like to ask what are other options for us to pay our policies when BPI online payment option does not work for us? We are from abroad. Thanks.', 'post_date': '1585546703'}}",64
"Due to local government guidelines to manage the COVID-19 health emergency across the country, select business centers will temporarily cease operations until further notice. Click here for the full list of business operations updates: https://bit.ly/2ydKsnd",https://web.facebook.com//prulifeukofficial/photos/a.414790448588347/2845792672154767/?type=3&__xts__%5B0%5D=68.ARA_2vV0PB6wVdTHb4nnq-8ROdMntUbOrpSfONjCftOW9HQoIj--ysy7OyHOKkqTp8s0QS40xUhyr8oj17k_6FxGexBG3WDIb2ywzM0TS-kYWRKbr5Y5Z93aqHXeddjTspgmFgy10yNM10S8eVNXCnTdPP6w2R8tgIFfAM0koyp1ycE3SoekWat7aEeFzh-qBNjI5kM4-WEwnBhwPttgngysh_5P72kS8sB-mRcgInc6cbcp1PmwwSP9IJ_09KInMgWKrblSqg4VhO8FeCY-9tCvJXUJjainK3Z9G8PQYP05jSBJQki8akbyZ5rxMlxFX8Fx6ff6XYiEhcO8nNxLX84dRg&__tn__=-R,2020-03-27 05:18:34,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/91297337_2845792675488100_5262056384731545600_n.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_eui2=AeGfMGECjlnpM3bk8fjWwU4E_IuW-D18of38i5b4PXyh_RH7lEtI5LWx3q-UJz-PlmWlxwZOFwUEVxdXjE7LeymS&_nc_ohc=oD5rGIxTwm4AX-QnSq8&_nc_ht=scontent.fmnl5-1.fna&oh=f2b25220ab04de60eef2986bc92055a9&oe=5EB0948D,"{'Total': '85', 'Like': '81', 'Love': '3', 'Haha': '1'}","{'Kaye Sanchez': {'text': ""Lets coordinate against COVID-19. We have a preventive measures to introduce for everyone in the Philippines. Looking forward to bring your company's name PRU LIFE  in bringing health to our people, especially our elders. pm this account for this mission."", 'post_date': '1585290205'}}",38
,https://web.facebook.com//notes/pru-life-uk-official/pru-life-uk-business-center-operations-updates/2845785822155452/?__xts__%5B0%5D=68.ARDaRrGXCwcRs5-K1dqY4WoJiB-KK0QGEeUmngMzQ2DcGZDjXbJJMYHGMuugrPiuQWaj_IwFtaXyom1acrA3df0XMZJ4Cz1yfwYSWSur6muu6QRkxveqL3h6RcYKxoUAK5bdep6WoKmCbnp4okTMRJRQpsH2ziQZUxpzKE6i-cqc5sjLVz1oRkqZtWfLAPhAKUT3mxPLskYX9RmGt4ybfh2czSdJG7HCnhc2Jalmcabxqj8HB-7E1uke_K4OgQTCFe4r5p4b7a71GMx790WXnsc_FATXKVCyjjYJifsx1yfvoqyKaYT9HDdhzUQdnKdiRu90Bw-wXNkGqmGs4yalsAcd&__tn__=-R,2020-03-27 05:15:39,,"{'Total': '78', 'Like': '76', 'Love': '1', 'Sad': '1'}",{},34
